trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	4	2	0.3389366944	0.4080611578	3017325.695	3017333.053	7.357757974	407	543	0.4864588481	86	86	0.5557052049
2	5	1	0.6660946901	0.5200801421	3017338.733	3017341.301	2.568256501	408	539	0.5045137173000001	84	170	0.4052700522
3	1	3	0.3252900918	0.4855242793	3017348.751	3017352.63	3.878148398	454	543	0.4864588481	84	254	0.5328676674
4	3	5	0.3411163076	0.5457299398	3017358.222	3017361.138	2.915782058	454	543	0.4864588481	86	340	0.4802301469
5	6	4	0.4312476277	0.4080928382	3017366.658	3017368.067	1.409097103	454	543	0.4864588481	95	435	0.5487053893
6	2	6	0.6670000832	0.4571689634	3017374.227	3017375.666	1.438645983	454	543	0.4864588481	82	517	0.5943257552
7	5	1	0.6709951621	0.4051393202	3017383.225	3017389.223	5.99809042	454	582	0.3104238731	64	581	0.4406932893
8	2	6	0.6509856379	0.5505307632999999	3017396.793	3017401.711	4.918230186	452	494	0.7076309961	95	676	0.5244962367
9	1	3	0.3435930225	0.4400623383	3017409.131	3017411.39	2.259122392	452	494	0.7076309961	64	740	0.4519571982
10	3	5	0.3390384095	0.505684706	3017416.97	3017418.919	1.948734426	443	590	0.2743141347	94	834	0.4625834999
11	6	4	0.1602786711	0.4546003985	3017424.429	3017428.187	3.758432742	447	569	0.3691021981	80	914	0.5362529087
12	4	2	0.6817806211	0.4336150848	3017432.687	3017436.886	4.19834199	438	593	0.2607729828	58	972	0.4584236503
13	2	6	0.676325267	0.5651141642	3017444.565	3017451.323	6.758049286	410	477	0.7843641903	90	1062	0.5820387185
14	4	2	0.3420066185	0.5443147576	3017459.063	3017464.591	5.528177848	442	581	0.3149375905	98	1160	0.5693287765
15	6	4	0.3514224985	0.525029059	3017470.301	3017472.38	2.078756909	442	566	0.38264335	97	1257	0.5386550687
16	5	1	0.6736339224	0.4744958831	3017478.06	3017480.178	2.118696434	464	486	0.7437407345	93	1350	0.418364693
17	3	5	0.6650650903999999	0.5604199308	3017487.758	3017494.136	6.377975914	433	573	0.3510473289	69	1419	0.4451749165
18	1	3	0.3321062324	0.504670677	3017501.636	3017504.674	3.038567068	442	479	0.7753367557	56	1475	0.5342347596
19	5	1	0.3272953496	0.4046798522	3017510.164	3017510.923	0.7589775622	442	479	0.7753367557	56	1531	0.5478666784
20	4	2	0.3269218063	0.5987835619	3017516.593	3017517.702	1.108918461	421	585	0.2968827212	97	1628	0.5025405025
21	2	6	0.6781567251	0.5787156083	3017523.302	3017523.901	0.5989580271	435	470	0.8159602114	87	1715	0.442136496
22	6	4	0.2029411796	0.5435817516	3017531.521	3017536.609	5.088213861	419	582	0.3104238731	90	1805	0.4538119462
23	3	5	0.6694577806000001	0.5342527984	3017541.369	3017542.798	1.428778206	437	492	0.7166584307	96	1901	0.4456430649
24	1	3	0.3182377126	0.4404270031	3017550.248	3017551.317	1.068895973	421	604	0.2111220924	90	1991	0.5877990317
25	3	5	0.3384617407	0.4275694155	3017556.807	3017557.716	0.9088921188	420	504	0.662493823	68	2059	0.448840222
26	4	2	0.3157428445	0.4003355366	3017563.156	3017564.555	1.398808808	410	587	0.2878552866	98	2157	0.5351875867
27	5	1	0.6645281219	0.5728318934	3017570.105	3017571.973	1.868760153	410	578	0.3284787424	67	2224	0.4581960725
28	6	4	0.1531911562	0.4883342425	3017579.463	3017580.612	1.14886654	410	578	0.3284787424	83	2307	0.5946565381
29	1	3	0.3268829385	0.4161031151	3017585.092	3017585.631	0.5389548	410	578	0.3284787424	100	2407	0.4749613238
30	2	6	0.6672670601	0.5911960044	3017591.211	3017593.1	1.888766835	412	517	0.603815498	94	2501	0.4029107194
31	1	3	0.321794405	0.4955495152	3017600.56	3017601.728	1.168890613	422	613	0.1704986367	85	2586	0.4595143327
32	3	5	0.6489242424	0.5437764308	3017607.229	3017608.657	1.428726317	432	533	0.5315960211	89	2675	0.4379518964
33	4	2	0.3257531492	0.5258925671	3017616.077	3017617.206	1.128897775	434	597	0.2427181136	92	2767	0.5152485512
34	2	6	0.6784841862	0.5559114337	3017622.786	3017625.175	2.38866135	429	484	0.7527681691	93	2860	0.5004564288
35	5	1	0.3439149296	0.5830994872	3017632.894	3017634.793	1.898766328	428	504	0.662493823	69	2929	0.4337633592
36	6	4	0.71235517	0.4067951616	3017640.253	3017641.622	1.368782676	426	579	0.3239650251	62	2991	0.5980391913999999
37	5	1	0.6814203939	0.5010053622	3017649.552	3017650.45	0.8988783713	426	570	0.3645884808	69	3060	0.4189228713
38	4	2	0.3409970898	0.465665189	3017657.99	3017663.578	5.588172808	424	601	0.2246632443	89	3149	0.4390755373
39	3	5	0.6676849096	0.4481418863	3017669.068	3017670.567	1.498750705	451	508	0.6444389538	98	3247	0.4110692387
40	6	4	0.255022262	0.4401961223	3017677.977	3017679.136	1.158847216	444	537	0.5135411519	75	3322	0.4646280194
41	1	3	0.3415690902	0.4055007088	3017684.096	3017685.085	0.9889382356999999	439	603	0.2156358097	88	3410	0.5416590152
42	2	6	0.6726162181000001	0.4354274178	3017690.675	3017693.183	2.508699735	483	480	0.7708230384	91	3501	0.5561429672
43	3	5	0.3333446983	0.5668477397	3017700.903	3017708.861	7.957714126	477	499	0.6850624095	65	3566	0.5038703901
44	4	2	0.3310122337	0.5690166795	3017714.491	3017715.39	0.8988991836	454	603	0.2156358097	89	3655	0.4828241775
45	5	1	0.6859649502	0.5394248643	3017720.95	3017722.549	1.598825172	465	546	0.4729176962	79	3734	0.4281194329
46	2	6	0.6712691378	0.4493049141	3017730.098	3017733.577	3.478578096	484	473	0.8024190595	87	3821	0.5462714013
47	1	3	0.3418863904	0.4741745007	3017741.186	3017742.156	0.9691037517	472	614	0.1659849194	83	3904	0.5088227251
