trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	4	1	0.3410335026	0.4384327982	3533432.3	3533435.068	2.76825747	1477	557	0.4232668058	92	92	0.4721401617
2	3	3	0.3361538326	0.5522515398	3533440.698	3533442.487	1.788529008	1482	558	0.4187530885	92	184	0.5067440909000001
3	5	5	0.6763501423	0.565945198	3533448.157	3533449.176	1.018582053	1482	583	0.3059101558	63	247	0.4412781333
4	2	6	0.6647560518	0.4335791975	3533456.685	3533458.154	1.469604952	1515	534	0.5270823038	87	334	0.5495637464999999
5	6	4	0.3295700494	0.443964999	3533465.704	3533466.273	0.5688041723	1516	541	0.4954862827	84	418	0.5013704179
6	1	2	0.3323486537	0.5916300134	3533471.893	3533473.121	1.228781798	1525	561	0.4052119366	93	511	0.5406593383
7	1	2	0.3365565932	0.4780956093	3533478.692	3533479.51	0.8189183534	1535	572	0.3555610462	99	610	0.4181967835
8	2	6	0.6665633199	0.5061742338	3533485.02	3533485.789	0.7689131930999999	1558	554	0.4368079577	78	688	0.4402580696
9	4	1	0.335826362	0.4745247754	3533493.269	3533495.058	1.788775332	1570	584	0.3013964385	97	785	0.5821977758
10	3	3	0.6510198003	0.4853485136	3533500.698	3533501.917	1.218824214	1570	502	0.6715212576	98	883	0.4173134328
11	6	4	0.3644994113	0.461137622	3533509.257	3533510.245	0.9888586937	1573	500	0.6805486922	69	952	0.5903478706
12	5	5	0.6568794958	0.4442139071	3533516.025	3533517.044	1.018960092	1578	505	0.6579801057	100	1052	0.4497059551
13	4	1	0.3215565623	0.4972658301	3533524.494	3533526.043	1.548859356	1597	583	0.3059101558	99	1151	0.4409877755
14	6	4	0.4505510275	0.4537791315	3533531.423	3533532.342	0.918934661	1556	496	0.6986035615	76	1227	0.5300720724
15	3	3	0.6641330917	0.4099469175	3533538.542	3533539.361	0.8189491439	1556	496	0.6986035615	97	1324	0.5818920652
16	2	6	0.6558884829	0.442241965	3533546.92	3533547.859	0.9388369983	1556	497	0.6940898442	97	1421	0.4407852876
17	5	5	0.6649436092	0.5563528657	3533555.349	3533557.488	2.13870055	1588	582	0.3104238731	65	1486	0.4636949055
18	1	2	0.3401938077	0.5120063763	3533565.006	3533568.656	3.649235455	1576	585	0.2968827212	96	1582	0.4803137069
19	4	1	0.3319942595	0.5306034629	3533574.266	3533574.905	0.6389528615	1570	586	0.2923690039	97	1679	0.4439444943
20	5	5	0.6816105891999999	0.4459188471	3533580.345	3533582.543	2.198667285	1568	511	0.6308978019	95	1774	0.5470321039
21	3	3	0.3074471781	0.4981780373	3533590.243	3533591.162	0.9189226869	1562	495	0.7031172788	61	1835	0.4808554791
22	1	2	0.3217427349	0.4959891732	3533596.542	3533597.911	1.368824015	1610	592	0.2652867001	95	1930	0.4647092919
23	6	4	0.8794793765	0.45149802	3533603.311	3533604.51	1.198877117	1606	578	0.3284787424	45	1975	0.4914435322
24	2	6	0.6661275464999999	0.5267354771	3533613.359	3533614.898	1.538783172	1578	499	0.6850624095	99	2074	0.5222530696
25	5	5	0.3435688017	0.5944340059	3533622.568	3533624.936	2.368673198	1598	579	0.3239650251	99	2173	0.4703484174
26	1	2	0.3423467931	0.4455314771	3533630.476	3533631.875	1.398862691	1612	581	0.3149375905	98	2271	0.4986505811
27	2	6	0.6578517787	0.4839734745	3533637.475	3533638.924	1.448758089	1593	505	0.6579801057	100	2371	0.5862378633999999
28	6	4	0.6215182815	0.4939955104	3533646.514	3533648.852	2.338621408	1598	517	0.603815498	99	2470	0.5489305622
29	3	3	0.344217522	0.5694627558000001	3533656.262	3533656.841	0.5789975305	1598	517	0.603815498	75	2545	0.5528425493
30	4	1	0.6731187446	0.4367554888	3533662.451	3533665.75	3.298446392	1615	565	0.3871570673	72	2617	0.5795491052
31	3	3	0.6712397682	0.4395524827	3533673.369	3533674.208	0.8389047943	1599	492	0.7166584307	96	2713	0.5677021095
32	5	5	0.6728853968	0.4073931031	3533681.768	3533682.707	0.9390305788	1618	606	0.2020946578	53	2766	0.4035410198
33	2	6	0.6875880695	0.4797596309	3533690.177	3533691.325	1.148841736	1603	496	0.6986035615	99	2865	0.5084256649
34	1	2	0.3217232345	0.5902284493	3533699.105	3533699.384	0.279001351	1605	499	0.6850624095	64	2929	0.57880483
35	6	4	0.3166624247	0.5578001373	3533705.014	3533706.363	1.348812486	1631	587	0.2878552866	98	3027	0.5367305174
36	4	1	0.6419689274	0.5319450164	3533711.893	3533712.942	1.04887133	1623	584	0.3013964385	66	3093	0.4126044187
37	2	6	0.6576748386	0.5530599443999999	3533720.322	3533721.85	1.528746332	1612	583	0.3059101558	65	3158	0.4702853285
38	5	5	0.66626978	0.454892304	3533729.28	3533730.069	0.789069267	1609	580	0.3194513078	66	3224	0.4824412344
39	4	1	0.3257462765	0.5187674707	3533737.619	3533738.908	1.288883954	1577	486	0.7437407345	59	3283	0.5454630612
40	3	3	0.3297906157	0.4542334397	3533744.418	3533745.107	0.6888522506	1505	498	0.6895761269	65	3348	0.5266161138
41	6	4	0.2579118114	0.4109149671	3533750.577	3533751.006	0.4289595271	1495	506	0.6534663884	61	3409	0.5094616248
42	1	2	0.3263342028	0.4874322894	3533756.106	3533756.805	0.6988101192	1523	575	0.3420198943	99	3508	0.4081347398
43	6	4	0.8404806927	0.589736986	3533762.315	3533762.984	0.6689413604	1489	543	0.4864588481	65	3573	0.5591757641
44	2	6	0.6732726446	0.4098018119	3533771.553	3533772.612	1.058869681	1489	538	0.5090274346	84	3657	0.4116481105
45	3	3	0.3295775934	0.4555189808	3533780.082	3533781.161	1.078893756	1466	507	0.6489526711	69	3726	0.4747560899
46	4	1	0.3376432583	0.4476064254	3533786.611	3533787.82	1.208799633	1499	591	0.2698004174	94	3820	0.5857259764
47	1	2	0.3282974832	0.5730414386	3533793.56	3533793.949	0.3889512937	1481	564	0.3916707847	94	3914	0.5662288572
48	5	5	0.6738941043	0.4086447551	3533799.459	3533800.258	0.7990171569	1456	511	0.6308978019	96	4010	0.4126527436
49	6	4	0.2372396741	0.4572942015	3533807.727	3533808.356	0.6289291359	1493	590	0.2743141347	97	4107	0.5097755557
50	3	3	0.6779042408	0.5738524481	3533813.426	3533814.235	0.8089180058	1456	482	0.7617956038	92	4199	0.4421309116
51	4	1	0.320800949	0.5811211928	3533821.875	3533822.824	0.9489003522	1712	633	0.08022429053000001	76	4275	0.4433366623
52	5	5	0.6587444133	0.5184323757	3533828.264	3533829.393	1.12885387	1885	491	0.721172148	94	4369	0.5601767404
53	1	2	0.3424972294	0.500132295	3533836.962	3533838.411	1.448767782	1745	589	0.278827852	94	4463	0.4197053029
54	2	6	0.6703369555000001	0.4907290775	3533843.931	3533845.3	1.368858512	1695	496	0.6986035615	98	4561	0.5505262453
55	1	2	0.3438733315	0.4125301513	3533852.84	3533853.819	0.9789130851	1685	502	0.6715212576	68	4629	0.5465870645999999
56	4	1	0.319693208	0.5806779297	3533859.569	3533860.958	1.388805609	1720	577	0.3329924597	99	4728	0.4229277728
57	3	3	0.6652121369	0.5650883141	3533866.418	3533867.776	1.358858734	1702	494	0.7076309961	96	4824	0.5421096671
58	2	6	0.654024607	0.5543168079	3533875.426	3533876.105	0.6789405681	1685	553	0.441321675	79	4903	0.5694215563
59	5	5	0.6631237985	0.5257697492	3533883.685	3533886.593	2.908540024	1676	568	0.3736159154	72	4975	0.5059900228
60	6	4	0.853212832	0.4202894696	3533894.053	3533895.442	1.388800763	1749	607	0.1975809405	35	5010	0.5214003139
61	3	3	0.6551517769	0.5642389321	3533904.211	3533904.214	0.002182987984	1725	604	0.2111220924	56	5066	0.5432263483000001
62	6	4	0.6575818802	0.5928274796	3533911.84	3533915.489	3.648432337	1914	482	0.7617956038	90	5156	0.5903675853
