trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	3	4	0.6783478299	0.5749089666	2441863.365	2441867.764	4.399066367	591	429.2265585	1	100	100	0.4872822098
2	6	3	0.499361796	0.5795377437	2441875.484	2441879.712	4.228062198	616	496	0.6986035615	70	170	0.4767898273
3	1	5	0.3318779416	0.4539003948	2441886.212	2441889.65	3.43819298	627	527	0.558678325	56	226	0.4889805953
4	5	6	0.3374966032	0.4918537778	2441895.19	2441895.193	0.002538212109	643	544	0.4819451308	49	275	0.5577298822
5	4	1	0.3581718213	0.5916155031	2441900.96	2441903.098	2.138314174	618	525	0.5677057596	57	332	0.4856225702
6	2	2	0.6674554878	0.4507908624	2441908.748	2441911.066	2.318499869	617	573	0.3510473289	36	368	0.4692036474
7	6	3	0.2879128218	0.5453950819	2441918.646	2441919.845	1.198810464	595	517	0.603815498	61	429	0.5882998295
8	1	5	0.344731619	0.4902768428	2441925.205	2441926.934	1.728716637	545	535	0.5225685865	53	482	0.4198938178
9	2	2	0.6580415393	0.409658268	2441932.384	2441934.072	1.688784341	549	553	0.441321675	45	527	0.5918088207
10	4	1	0.3547578285	0.4015959243	2441941.562	2441952.819	11.25712776	530	499	0.6850624095	69	596	0.5097713088
11	5	6	0.6707792712	0.5127304952	2441958.519	2441959.188	0.6689604563	516	554	0.4368079577	44	640	0.5050742471
12	3	4	0.6842103975	0.5490120552	2441966.818	2441967.767	0.9488172354	512	517	0.603815498	61	701	0.4782940195
13	2	2	0.6721571761	0.4680010757	2441975.376	2441976.735	1.358808776	539	525	0.5677057596	57	758	0.5702540471
14	3	4	0.3362644142	0.4513902559	2441984.345	2441985.224	0.8789335801	533	528	0.5541646077	56	814	0.4110543938
15	1	5	0.3485514009	0.5206641075	2441990.714	2441991.523	0.8088854249	522	547	0.4684039789	47	861	0.5667326469
16	6	3	0.3770118003	0.5005630622	2441997.243	2441997.882	0.6389469458	518	526	0.5631920423	57	918	0.4131918131
