onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
107.887	0.001	107888	Stimulus	S  1
108.317	0.001	108318	Stimulus	S 11
109.827	0.001	109828	Stimulus	S 21
119.096	0.001	119097	Stimulus	S 31
119.616	0.001	119617	Stimulus	S 41
121.525	0.001	121526	Stimulus	S 51
122.546	0.001	122547	Stimulus	S  6
123.115	0.001	123116	Stimulus	S 16
124.625	0.001	124626	Stimulus	S 26
128.394	0.001	128395	Stimulus	S 36
128.925	0.001	128926	Stimulus	S 46
131.574	0.001	131575	Stimulus	S 56
132.584	0.001	132585	Stimulus	S  5
133.154	0.001	133155	Stimulus	S 15
134.664	0.001	134665	Stimulus	S 25
156.491	0.001	156492	Stimulus	S 35
157.051	0.001	157052	Stimulus	S 45
160.96	0.001	160961	Stimulus	S 55
161.97	0.001	161971	Stimulus	S  3
162.4	0.001	162401	Stimulus	S 13
163.91	0.001	163911	Stimulus	S 23
168.349	0.001	168350	Stimulus	S 33
168.919	0.001	168920	Stimulus	S 43
172.848	0.001	172849	Stimulus	S 53
173.869	0.001	173870	Stimulus	S  2
174.398	0.001	174399	Stimulus	S 12
175.908	0.001	175909	Stimulus	S 22
178.788	0.001	178789	Stimulus	S 32
179.298	0.001	179299	Stimulus	S 42
183.237	0.001	183238	Stimulus	S 52
184.257	0.001	184258	Stimulus	S  4
184.777	0.001	184778	Stimulus	S 14
186.287	0.001	186288	Stimulus	S 24
188.546	0.001	188547	Stimulus	S 34
189.007	0.001	189008	Stimulus	S 44
191.076	0.001	191077	Stimulus	S 54
192.086	0.001	192087	Stimulus	S  3
192.636	0.001	192637	Stimulus	S 13
194.145	0.001	194146	Stimulus	S 23
195.655	0.001	195656	Stimulus	S 33
196.196	0.001	196197	Stimulus	S 43
198.265	0.001	198266	Stimulus	S 53
199.275	0.001	199276	Stimulus	S  2
199.735	0.001	199736	Stimulus	S 12
201.245	0.001	201246	Stimulus	S 22
202.724	0.001	202725	Stimulus	S 32
203.284	0.001	203285	Stimulus	S 42
207.284	0.001	207285	Stimulus	S 52
208.294	0.001	208295	Stimulus	S  5
208.743	0.001	208744	Stimulus	S 15
210.253	0.001	210254	Stimulus	S 25
212.733	0.001	212734	Stimulus	S 35
213.243	0.001	213244	Stimulus	S 45
217.272	0.001	217273	Stimulus	S 55
218.282	0.001	218283	Stimulus	S  4
218.842	0.001	218843	Stimulus	S 14
220.352	0.001	220353	Stimulus	S 24
222.002	0.001	222003	Stimulus	S 34
222.622	0.001	222623	Stimulus	S 44
224.641	0.001	224642	Stimulus	S 54
225.651	0.001	225652	Stimulus	S  1
226.111	0.001	226112	Stimulus	S 11
227.621	0.001	227622	Stimulus	S 21
229.121	0.001	229122	Stimulus	S 31
229.581	0.001	229582	Stimulus	S 41
231.49	0.001	231491	Stimulus	S 51
232.5	0.001	232501	Stimulus	S  6
233.08	0.001	233081	Stimulus	S 16
234.59	0.001	234591	Stimulus	S 26
237.38	0.001	237381	Stimulus	S 36
237.96	0.001	237961	Stimulus	S 46
238.589	0.001	238590	Stimulus	S 56
239.599	0.001	239600	Stimulus	S  4
240.159	0.001	240160	Stimulus	S 14
241.669	0.001	241670	Stimulus	S 24
244.349	0.001	244350	Stimulus	S 34
244.858	0.001	244859	Stimulus	S 44
246.958	0.001	246959	Stimulus	S 54
247.968	0.001	247969	Stimulus	S  3
248.558	0.001	248559	Stimulus	S 13
250.068	0.001	250069	Stimulus	S 23
251.328	0.001	251329	Stimulus	S 33
251.788	0.001	251789	Stimulus	S 43
255.727	0.001	255728	Stimulus	S 53
256.737	0.001	256738	Stimulus	S  6
257.187	0.001	257188	Stimulus	S 16
258.697	0.001	258698	Stimulus	S 26
259.956	0.001	259957	Stimulus	S 36
260.446	0.001	260447	Stimulus	S 46
264.896	0.001	264897	Stimulus	S 56
265.906	0.001	265907	Stimulus	S  1
266.326	0.001	266327	Stimulus	S 11
267.835	0.001	267836	Stimulus	S 21
276.734	0.001	276735	Stimulus	S 31
277.294	0.001	277295	Stimulus	S 41
279.274	0.001	279275	Stimulus	S 51
280.284	0.001	280285	Stimulus	S  2
280.794	0.001	280795	Stimulus	S 12
282.303	0.001	282304	Stimulus	S 22
285.203	0.001	285204	Stimulus	S 32
285.663	0.001	285664	Stimulus	S 42
289.612	0.001	289613	Stimulus	S 52
290.622	0.001	290623	Stimulus	S  5
291.222	0.001	291223	Stimulus	S 15
292.732	0.001	292733	Stimulus	S 25
298.361	0.001	298362	Stimulus	S 35
298.941	0.001	298942	Stimulus	S 45
300.981	0.001	300982	Stimulus	S 55
301.991	0.001	301992	Stimulus	S  2
302.531	0.001	302532	Stimulus	S 12
304.041	0.001	304042	Stimulus	S 22
306.51	0.001	306511	Stimulus	S 32
307.05	0.001	307051	Stimulus	S 42
311.119	0.001	311120	Stimulus	S 52
312.129	0.001	312130	Stimulus	S  6
312.689	0.001	312690	Stimulus	S 16
314.199	0.001	314200	Stimulus	S 26
315.789	0.001	315790	Stimulus	S 36
316.389	0.001	316390	Stimulus	S 46
319.938	0.001	319939	Stimulus	S 56
320.948	0.001	320949	Stimulus	S  4
321.558	0.001	321559	Stimulus	S 14
323.068	0.001	323069	Stimulus	S 24
324.898	0.001	324899	Stimulus	S 34
325.338	0.001	325339	Stimulus	S 44
327.417	0.001	327418	Stimulus	S 54
328.427	0.001	328428	Stimulus	S  5
328.907	0.001	328908	Stimulus	S 15
330.417	0.001	330418	Stimulus	S 25
341.325	0.001	341326	Stimulus	S 35
341.835	0.001	341836	Stimulus	S 45
343.695	0.001	343696	Stimulus	S 55
344.705	0.001	344706	Stimulus	S  3
345.195	0.001	345196	Stimulus	S 13
346.705	0.001	346706	Stimulus	S 23
349.344	0.001	349345	Stimulus	S 33
349.954	0.001	349955	Stimulus	S 43
353.964	0.001	353965	Stimulus	S 53
354.974	0.001	354975	Stimulus	S  1
355.493	0.001	355494	Stimulus	S 11
357.003	0.001	357004	Stimulus	S 21
360.733	0.001	360734	Stimulus	S 31
361.283	0.001	361284	Stimulus	S 41
363.272	0.001	363273	Stimulus	S 51
364.282	0.001	364283	Stimulus	S  6
364.852	0.001	364853	Stimulus	S 16
366.362	0.001	366363	Stimulus	S 26
368.582	0.001	368583	Stimulus	S 36
369.002	0.001	369003	Stimulus	S 46
372.221	0.001	372222	Stimulus	S 56
373.231	0.001	373232	Stimulus	S  3
373.711	0.001	373712	Stimulus	S 13
375.221	0.001	375222	Stimulus	S 23
380.32	0.001	380321	Stimulus	S 33
380.8	0.001	380801	Stimulus	S 43
382.77	0.001	382771	Stimulus	S 53
383.78	0.001	383781	Stimulus	S  4
384.35	0.001	384351	Stimulus	S 14
385.859	0.001	385860	Stimulus	S 24
387.139	0.001	387140	Stimulus	S 34
387.739	0.001	387740	Stimulus	S 44
389.739	0.001	389740	Stimulus	S 54
390.749	0.001	390750	Stimulus	S  1
391.289	0.001	391290	Stimulus	S 11
392.798	0.001	392799	Stimulus	S 21
399.507	0.001	399508	Stimulus	S 31
400.077	0.001	400078	Stimulus	S 41
402.117	0.001	402118	Stimulus	S 51
403.127	0.001	403128	Stimulus	S  5
403.677	0.001	403678	Stimulus	S 15
405.187	0.001	405188	Stimulus	S 25
409.646	0.001	409647	Stimulus	S 35
410.106	0.001	410107	Stimulus	S 45
414.065	0.001	414066	Stimulus	S 55
415.075	0.001	415076	Stimulus	S  2
415.515	0.001	415516	Stimulus	S 12
417.025	0.001	417026	Stimulus	S 22
418.265	0.001	418266	Stimulus	S 32
418.746	0.001	418747	Stimulus	S 42
422.714	0.001	422715	Stimulus	S 52
423.724	0.001	423725	Stimulus	S  6
424.274	0.001	424275	Stimulus	S 16
425.784	0.001	425785	Stimulus	S 26
433.663	0.001	433664	Stimulus	S 36
434.113	0.001	434114	Stimulus	S 46
437.942	0.001	437943	Stimulus	S 56
438.952	0.001	438953	Stimulus	S  1
439.512	0.001	439513	Stimulus	S 11
441.022	0.001	441023	Stimulus	S 21
443.741	0.001	443742	Stimulus	S 31
444.161	0.001	444162	Stimulus	S 41
446.211	0.001	446212	Stimulus	S 51
447.221	0.001	447222	Stimulus	S  2
447.711	0.001	447712	Stimulus	S 12
449.221	0.001	449222	Stimulus	S 22
452.67	0.001	452671	Stimulus	S 32
453.19	0.001	453191	Stimulus	S 42
457.139	0.001	457140	Stimulus	S 52
458.15	0.001	458151	Stimulus	S  5
458.679	0.001	458680	Stimulus	S 15
460.189	0.001	460190	Stimulus	S 25
462.299	0.001	462300	Stimulus	S 35
462.769	0.001	462770	Stimulus	S 45
464.758	0.001	464759	Stimulus	S 55
465.769	0.001	465770	Stimulus	S  3
466.258	0.001	466259	Stimulus	S 13
467.768	0.001	467769	Stimulus	S 23
469.078	0.001	469079	Stimulus	S 33
469.648	0.001	469649	Stimulus	S 43
