onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
229.76	0.001	229761	Stimulus	S  2
230.36	0.001	230361	Stimulus	S 12
231.889	0.001	231890	Stimulus	S 22
235.998	0.001	235999	Stimulus	S 32
236.518	0.001	236519	Stimulus	S 42
240.437	0.001	240438	Stimulus	S 52
241.468	0.001	241469	Stimulus	S  4
241.958	0.001	241959	Stimulus	S 14
243.468	0.001	243469	Stimulus	S 24
245.656	0.001	245657	Stimulus	S 34
246.108	0.001	246109	Stimulus	S 44
248.036	0.001	248037	Stimulus	S 54
249.057	0.001	249058	Stimulus	S  1
249.587	0.001	249588	Stimulus	S 11
251.097	0.001	251098	Stimulus	S 21
252.426	0.001	252427	Stimulus	S 31
252.896	0.001	252897	Stimulus	S 41
254.885	0.001	254886	Stimulus	S 51
255.906	0.001	255907	Stimulus	S  5
256.495	0.001	256496	Stimulus	S 15
258.006	0.001	258007	Stimulus	S 25
259.764	0.001	259765	Stimulus	S 35
260.354	0.001	260355	Stimulus	S 45
264.414	0.001	264415	Stimulus	S 55
265.445	0.001	265446	Stimulus	S  6
265.885	0.001	265886	Stimulus	S 16
267.405	0.001	267406	Stimulus	S 26
268.413	0.001	268414	Stimulus	S 36
268.905	0.001	268906	Stimulus	S 46
273.333	0.001	273334	Stimulus	S 56
274.363	0.001	274364	Stimulus	S  3
274.943	0.001	274944	Stimulus	S 13
276.452	0.001	276453	Stimulus	S 23
279.942	0.001	279943	Stimulus	S 33
280.473	0.001	280474	Stimulus	S 43
284.451	0.001	284452	Stimulus	S 53
285.472	0.001	285473	Stimulus	S  5
286.052	0.001	286053	Stimulus	S 15
287.561	0.001	287562	Stimulus	S 25
292.48	0.001	292481	Stimulus	S 35
292.931	0.001	292932	Stimulus	S 45
297.029	0.001	297030	Stimulus	S 55
298.05	0.001	298051	Stimulus	S  4
298.64	0.001	298641	Stimulus	S 14
300.149	0.001	300150	Stimulus	S 24
301.689	0.001	301690	Stimulus	S 34
302.189	0.001	302190	Stimulus	S 44
304.158	0.001	304159	Stimulus	S 54
305.179	0.001	305180	Stimulus	S  2
305.659	0.001	305660	Stimulus	S 12
307.168	0.001	307169	Stimulus	S 22
309.208	0.001	309209	Stimulus	S 32
309.828	0.001	309829	Stimulus	S 42
313.747	0.001	313748	Stimulus	S 52
314.768	0.001	314769	Stimulus	S  1
315.348	0.001	315349	Stimulus	S 11
316.858	0.001	316859	Stimulus	S 21
321.956	0.001	321957	Stimulus	S 31
322.457	0.001	322458	Stimulus	S 41
324.406	0.001	324407	Stimulus	S 51
325.426	0.001	325427	Stimulus	S  6
326.036	0.001	326037	Stimulus	S 16
327.546	0.001	327547	Stimulus	S 26
332.725	0.001	332726	Stimulus	S 36
333.315	0.001	333316	Stimulus	S 46
334.384	0.001	334385	Stimulus	S 56
335.405	0.001	335406	Stimulus	S  3
335.865	0.001	335866	Stimulus	S 13
337.375	0.001	337376	Stimulus	S 23
338.614	0.001	338615	Stimulus	S 33
339.065	0.001	339066	Stimulus	S 43
341.113	0.001	341114	Stimulus	S 53
342.123	0.001	342124	Stimulus	S  5
342.554	0.001	342555	Stimulus	S 15
344.064	0.001	344065	Stimulus	S 25
346.723	0.001	346724	Stimulus	S 35
347.193	0.001	347194	Stimulus	S 45
351.272	0.001	351273	Stimulus	S 55
352.293	0.001	352294	Stimulus	S  2
352.812	0.001	352813	Stimulus	S 12
354.322	0.001	354323	Stimulus	S 22
357.861	0.001	357862	Stimulus	S 32
358.442	0.001	358443	Stimulus	S 42
362.46	0.001	362461	Stimulus	S 52
363.481	0.001	363482	Stimulus	S  1
364.041	0.001	364042	Stimulus	S 11
365.551	0.001	365552	Stimulus	S 21
369.799	0.001	369800	Stimulus	S 31
370.41	0.001	370411	Stimulus	S 41
372.459	0.001	372460	Stimulus	S 51
373.48	0.001	373481	Stimulus	S  4
374.03	0.001	374031	Stimulus	S 14
375.54	0.001	375541	Stimulus	S 24
378.878	0.001	378879	Stimulus	S 34
379.469	0.001	379470	Stimulus	S 44
383.368	0.001	383369	Stimulus	S 54
384.388	0.001	384389	Stimulus	S  6
384.818	0.001	384819	Stimulus	S 16
386.328	0.001	386329	Stimulus	S 26
391.007	0.001	391008	Stimulus	S 36
391.517	0.001	391518	Stimulus	S 46
394.656	0.001	394657	Stimulus	S 56
395.677	0.001	395678	Stimulus	S  3
396.177	0.001	396178	Stimulus	S 13
397.687	0.001	397688	Stimulus	S 23
403.125	0.001	403126	Stimulus	S 33
403.616	0.001	403617	Stimulus	S 43
405.555	0.001	405556	Stimulus	S 53
406.575	0.001	406576	Stimulus	S  6
407.005	0.001	407006	Stimulus	S 16
408.515	0.001	408516	Stimulus	S 26
409.544	0.001	409545	Stimulus	S 36
409.985	0.001	409986	Stimulus	S 46
413.234	0.001	413235	Stimulus	S 56
414.243	0.001	414244	Stimulus	S  3
414.773	0.001	414774	Stimulus	S 13
416.283	0.001	416284	Stimulus	S 23
418.183	0.001	418184	Stimulus	S 33
418.653	0.001	418654	Stimulus	S 43
420.673	0.001	420674	Stimulus	S 53
421.683	0.001	421684	Stimulus	S  5
422.233	0.001	422234	Stimulus	S 15
423.742	0.001	423743	Stimulus	S 25
424.972	0.001	424973	Stimulus	S 35
425.562	0.001	425563	Stimulus	S 45
429.511	0.001	429512	Stimulus	S 55
430.521	0.001	430522	Stimulus	S  1
431.021	0.001	431022	Stimulus	S 11
432.531	0.001	432532	Stimulus	S 21
434.621	0.001	434622	Stimulus	S 31
435.221	0.001	435222	Stimulus	S 41
437.27	0.001	437271	Stimulus	S 51
438.28	0.001	438281	Stimulus	S  4
438.7	0.001	438701	Stimulus	S 14
440.21	0.001	440211	Stimulus	S 24
441.15	0.001	441151	Stimulus	S 34
441.69	0.001	441691	Stimulus	S 44
443.679	0.001	443680	Stimulus	S 54
444.689	0.001	444690	Stimulus	S  2
445.239	0.001	445240	Stimulus	S 12
446.749	0.001	446750	Stimulus	S 22
448.369	0.001	448370	Stimulus	S 32
448.919	0.001	448920	Stimulus	S 42
452.988	0.001	452989	Stimulus	S 52
453.998	0.001	453999	Stimulus	S  2
454.468	0.001	454469	Stimulus	S 12
455.978	0.001	455979	Stimulus	S 22
456.738	0.001	456739	Stimulus	S 32
457.318	0.001	457319	Stimulus	S 42
461.357	0.001	461358	Stimulus	S 52
462.367	0.001	462368	Stimulus	S  4
462.907	0.001	462908	Stimulus	S 14
464.417	0.001	464418	Stimulus	S 24
466.246	0.001	466247	Stimulus	S 34
466.776	0.001	466777	Stimulus	S 44
468.816	0.001	468817	Stimulus	S 54
469.826	0.001	469827	Stimulus	S  6
470.317	0.001	470318	Stimulus	S 16
471.826	0.001	471827	Stimulus	S 26
473.805	0.001	473806	Stimulus	S 36
474.256	0.001	474257	Stimulus	S 46
475.355	0.001	475356	Stimulus	S 56
476.365	0.001	476366	Stimulus	S  5
476.875	0.001	476876	Stimulus	S 15
478.386	0.001	478387	Stimulus	S 25
479.424	0.001	479425	Stimulus	S 35
479.905	0.001	479906	Stimulus	S 45
483.854	0.001	483855	Stimulus	S 55
484.864	0.001	484865	Stimulus	S  3
485.304	0.001	485305	Stimulus	S 13
486.814	0.001	486815	Stimulus	S 23
488.123	0.001	488124	Stimulus	S 33
488.663	0.001	488664	Stimulus	S 43
490.683	0.001	490684	Stimulus	S 53
491.693	0.001	491694	Stimulus	S  1
492.204	0.001	492205	Stimulus	S 11
493.713	0.001	493714	Stimulus	S 21
494.852	0.001	494853	Stimulus	S 31
495.392	0.001	495393	Stimulus	S 41
497.442	0.001	497443	Stimulus	S 51
498.452	0.001	498453	Stimulus	S  2
498.872	0.001	498873	Stimulus	S 12
500.382	0.001	500383	Stimulus	S 22
503.711	0.001	503712	Stimulus	S 32
504.262	0.001	504263	Stimulus	S 42
508.291	0.001	508292	Stimulus	S 52
509.311	0.001	509312	Stimulus	S  6
509.85	0.001	509851	Stimulus	S 16
511.36	0.001	511361	Stimulus	S 26
512.7	0.001	512701	Stimulus	S 36
513.15	0.001	513151	Stimulus	S 46
518.539	0.001	518540	Stimulus	S 56
519.549	0.001	519550	Stimulus	S  4
520.099	0.001	520100	Stimulus	S 14
521.609	0.001	521610	Stimulus	S 24
522.669	0.001	522670	Stimulus	S 34
523.119	0.001	523120	Stimulus	S 44
527.138	0.001	527139	Stimulus	S 54
528.148	0.001	528149	Stimulus	S  5
528.578	0.001	528579	Stimulus	S 15
530.088	0.001	530089	Stimulus	S 25
531.068	0.001	531069	Stimulus	S 35
531.548	0.001	531549	Stimulus	S 45
535.597	0.001	535598	Stimulus	S 55
536.607	0.001	536608	Stimulus	S  1
537.017	0.001	537018	Stimulus	S 11
538.527	0.001	538528	Stimulus	S 21
539.686	0.001	539687	Stimulus	S 31
540.176	0.001	540177	Stimulus	S 41
