onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
309.673	0.001	309674	Stimulus	S  6
310.243	0.001	310244	Stimulus	S 16
311.752	0.001	311753	Stimulus	S 26
327.639	0.001	327640	Stimulus	S 36
328.151	0.001	328152	Stimulus	S 46
329.709	0.001	329710	Stimulus	S 56
330.73	0.001	330731	Stimulus	S  1
331.27	0.001	331271	Stimulus	S 11
332.78	0.001	332781	Stimulus	S 21
346.077	0.001	346078	Stimulus	S 31
346.668	0.001	346669	Stimulus	S 41
348.647	0.001	348648	Stimulus	S 51
349.667	0.001	349668	Stimulus	S  2
350.176	0.001	350177	Stimulus	S 12
351.687	0.001	351688	Stimulus	S 22
357.315	0.001	357316	Stimulus	S 32
357.766	0.001	357767	Stimulus	S 42
361.805	0.001	361806	Stimulus	S 52
362.826	0.001	362827	Stimulus	S  5
363.325	0.001	363326	Stimulus	S 15
364.835	0.001	364836	Stimulus	S 25
367.564	0.001	367565	Stimulus	S 35
368.105	0.001	368106	Stimulus	S 45
372.133	0.001	372134	Stimulus	S 55
373.173	0.001	373174	Stimulus	S  3
373.645	0.001	373646	Stimulus	S 13
375.155	0.001	375156	Stimulus	S 23
376.653	0.001	376654	Stimulus	S 33
377.214	0.001	377215	Stimulus	S 43
379.133	0.001	379134	Stimulus	S 53
380.162	0.001	380163	Stimulus	S  4
380.773	0.001	380774	Stimulus	S 14
382.283	0.001	382284	Stimulus	S 24
389.971	0.001	389972	Stimulus	S 34
390.531	0.001	390532	Stimulus	S 44
392.521	0.001	392522	Stimulus	S 54
393.53	0.001	393531	Stimulus	S  4
394.081	0.001	394082	Stimulus	S 14
395.59	0.001	395591	Stimulus	S 24
496.766	0.001	496767	Stimulus	S 34
497.267	0.001	497268	Stimulus	S 44
501.226	0.001	501227	Stimulus	S 54
502.246	0.001	502247	Stimulus	S  3
502.836	0.001	502837	Stimulus	S 13
504.346	0.001	504347	Stimulus	S 23
507.395	0.001	507396	Stimulus	S 33
507.855	0.001	507856	Stimulus	S 43
511.834	0.001	511835	Stimulus	S 53
512.844	0.001	512845	Stimulus	S  5
513.375	0.001	513376	Stimulus	S 15
514.884	0.001	514885	Stimulus	S 25
519.463	0.001	519464	Stimulus	S 35
519.974	0.001	519975	Stimulus	S 45
524.003	0.001	524004	Stimulus	S 55
525.023	0.001	525024	Stimulus	S  6
525.474	0.001	525475	Stimulus	S 16
526.983	0.001	526984	Stimulus	S 26
539.74	0.001	539741	Stimulus	S 36
540.251	0.001	540252	Stimulus	S 46
545.08	0.001	545081	Stimulus	S 56
546.1	0.001	546101	Stimulus	S  2
546.67	0.001	546671	Stimulus	S 12
548.18	0.001	548181	Stimulus	S 22
552.259	0.001	552260	Stimulus	S 32
552.69	0.001	552691	Stimulus	S 42
556.628	0.001	556629	Stimulus	S 52
557.649	0.001	557650	Stimulus	S  1
558.189	0.001	558190	Stimulus	S 11
559.699	0.001	559700	Stimulus	S 21
564.127	0.001	564128	Stimulus	S 31
564.578	0.001	564579	Stimulus	S 41
566.517	0.001	566518	Stimulus	S 51
567.537	0.001	567538	Stimulus	S  5
567.957	0.001	567958	Stimulus	S 15
569.467	0.001	569468	Stimulus	S 25
574.886	0.001	574887	Stimulus	S 35
575.406	0.001	575407	Stimulus	S 45
579.295	0.001	579296	Stimulus	S 55
580.305	0.001	580306	Stimulus	S  4
580.826	0.001	580827	Stimulus	S 14
582.335	0.001	582336	Stimulus	S 24
589.164	0.001	589165	Stimulus	S 34
589.755	0.001	589756	Stimulus	S 44
591.723	0.001	591724	Stimulus	S 54
592.744	0.001	592745	Stimulus	S  2
593.344	0.001	593345	Stimulus	S 12
594.854	0.001	594855	Stimulus	S 22
597.283	0.001	597284	Stimulus	S 32
597.733	0.001	597734	Stimulus	S 42
601.692	0.001	601693	Stimulus	S 52
602.713	0.001	602714	Stimulus	S  3
603.123	0.001	603124	Stimulus	S 13
604.632	0.001	604633	Stimulus	S 23
609.451	0.001	609452	Stimulus	S 33
610.062	0.001	610063	Stimulus	S 43
614.06	0.001	614061	Stimulus	S 53
615.07	0.001	615071	Stimulus	S  1
615.651	0.001	615652	Stimulus	S 11
617.16	0.001	617161	Stimulus	S 21
621.859	0.001	621860	Stimulus	S 31
622.43	0.001	622431	Stimulus	S 41
624.419	0.001	624420	Stimulus	S 51
625.439	0.001	625440	Stimulus	S  6
625.97	0.001	625971	Stimulus	S 16
627.479	0.001	627480	Stimulus	S 26
630.458	0.001	630459	Stimulus	S 36
630.979	0.001	630980	Stimulus	S 46
636.177	0.001	636178	Stimulus	S 56
637.198	0.001	637199	Stimulus	S  6
637.718	0.001	637719	Stimulus	S 16
639.228	0.001	639229	Stimulus	S 26
642.046	0.001	642047	Stimulus	S 36
642.517	0.001	642518	Stimulus	S 46
644.656	0.001	644657	Stimulus	S 56
645.677	0.001	645678	Stimulus	S  5
646.097	0.001	646098	Stimulus	S 15
647.606	0.001	647607	Stimulus	S 25
666.213	0.001	666214	Stimulus	S 35
666.774	0.001	666775	Stimulus	S 45
670.823	0.001	670824	Stimulus	S 55
671.843	0.001	671844	Stimulus	S  3
672.272	0.001	672273	Stimulus	S 13
673.783	0.001	673784	Stimulus	S 23
676.222	0.001	676223	Stimulus	S 33
676.743	0.001	676744	Stimulus	S 43
680.721	0.001	680722	Stimulus	S 53
681.742	0.001	681743	Stimulus	S  2
682.212	0.001	682213	Stimulus	S 12
683.722	0.001	683723	Stimulus	S 22
686.26	0.001	686261	Stimulus	S 32
686.801	0.001	686802	Stimulus	S 42
690.85	0.001	690851	Stimulus	S 52
691.871	0.001	691872	Stimulus	S  1
692.431	0.001	692432	Stimulus	S 11
693.94	0.001	693941	Stimulus	S 21
695.859	0.001	695860	Stimulus	S 31
696.45	0.001	696451	Stimulus	S 41
698.489	0.001	698490	Stimulus	S 51
699.509	0.001	699510	Stimulus	S  4
699.969	0.001	699970	Stimulus	S 14
701.479	0.001	701480	Stimulus	S 24
704.718	0.001	704719	Stimulus	S 34
705.158	0.001	705159	Stimulus	S 44
707.038	0.001	707039	Stimulus	S 54
708.058	0.001	708059	Stimulus	S  6
708.618	0.001	708619	Stimulus	S 16
710.128	0.001	710129	Stimulus	S 26
711.567	0.001	711568	Stimulus	S 36
712.128	0.001	712129	Stimulus	S 46
713.787	0.001	713788	Stimulus	S 56
714.807	0.001	714808	Stimulus	S  5
715.247	0.001	715248	Stimulus	S 15
716.756	0.001	716757	Stimulus	S 25
725.295	0.001	725296	Stimulus	S 35
725.856	0.001	725857	Stimulus	S 45
727.775	0.001	727776	Stimulus	S 55
728.796	0.001	728797	Stimulus	S  2
729.275	0.001	729276	Stimulus	S 12
730.785	0.001	730786	Stimulus	S 22
740.143	0.001	740144	Stimulus	S 32
740.674	0.001	740675	Stimulus	S 42
744.712	0.001	744713	Stimulus	S 52
745.733	0.001	745734	Stimulus	S  1
746.163	0.001	746164	Stimulus	S 11
747.673	0.001	747674	Stimulus	S 21
750.052	0.001	750053	Stimulus	S 31
750.603	0.001	750604	Stimulus	S 41
752.701	0.001	752702	Stimulus	S 51
753.721	0.001	753722	Stimulus	S  3
754.232	0.001	754233	Stimulus	S 13
755.742	0.001	755743	Stimulus	S 23
760.24	0.001	760241	Stimulus	S 33
760.781	0.001	760782	Stimulus	S 43
762.74	0.001	762741	Stimulus	S 53
763.761	0.001	763762	Stimulus	S  4
764.361	0.001	764362	Stimulus	S 14
765.871	0.001	765872	Stimulus	S 24
768.159	0.001	768160	Stimulus	S 34
768.619	0.001	768620	Stimulus	S 44
770.579	0.001	770580	Stimulus	S 54
771.589	0.001	771590	Stimulus	S  6
772.03	0.001	772031	Stimulus	S 16
773.539	0.001	773540	Stimulus	S 26
780.378	0.001	780379	Stimulus	S 36
780.838	0.001	780839	Stimulus	S 46
785.867	0.001	785868	Stimulus	S 56
786.888	0.001	786889	Stimulus	S  4
787.388	0.001	787389	Stimulus	S 14
788.897	0.001	788898	Stimulus	S 24
791.696	0.001	791697	Stimulus	S 34
792.227	0.001	792228	Stimulus	S 44
794.156	0.001	794157	Stimulus	S 54
795.176	0.001	795177	Stimulus	S  1
795.676	0.001	795677	Stimulus	S 11
797.186	0.001	797187	Stimulus	S 21
812.783	0.001	812784	Stimulus	S 31
813.273	0.001	813274	Stimulus	S 41
815.163	0.001	815164	Stimulus	S 51
816.183	0.001	816184	Stimulus	S  2
816.784	0.001	816785	Stimulus	S 12
818.293	0.001	818294	Stimulus	S 22
821.412	0.001	821413	Stimulus	S 32
821.983	0.001	821984	Stimulus	S 42
825.891	0.001	825892	Stimulus	S 52
826.912	0.001	826913	Stimulus	S  5
827.491	0.001	827492	Stimulus	S 15
829.002	0.001	829003	Stimulus	S 25
836.36	0.001	836361	Stimulus	S 35
836.911	0.001	836912	Stimulus	S 45
