trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	4	5	0.3297807792	0.4616467364	530767.2905	530784.4584	17.1679288	27	479	0.7753367557	56	56	0.4352460281
2	1	1	0.3431193008	0.4479429673	530789.8687	530793.1068	3.238136048	70	516	0.6083292152999999	74	130	0.5898083069
3	3	6	0.3218678723	0.5153073958	530798.8371	530802.9852999999	4.148145234	105	448	0.9152619922	41	171	0.5092409337
4	6	2	0.5664890681	0.5049422196	530808.4856	530810.2042	1.718541504	110	580	0.3194513078	76	247	0.5334687348
5	2	3	0.6743261071	0.4854300425	530817.1834	530819.8029	2.619544994	112	540	0.5	83	330	0.418474339
6	5	4	0.3392675925	0.5537315023	530827.3824999999	530829.2511	1.868569814	114	565	0.3871570673	96	426	0.5763490422000001
7	1	1	0.3435558017	0.5069819947	530834.9202000001	530835.8299	0.9096827479	114	565	0.3871570673	96	522	0.4786421209
8	6	2	0.8590987608	0.4090322432	530841.34	530842.0689	0.7289062646	114	565	0.3871570673	53	575	0.4661849481
9	2	3	0.6537884257	0.4809001646	530850.7285	530851.5574	0.8288815182	103	497	0.6940898442	96	671	0.4678736614
10	3	6	0.3214839307	0.4293434831	530858.9372	530859.5760999999	0.6389881507	103	497	0.6940898442	63	734	0.409041026
11	5	4	0.6693031337999999	0.4150065229	530864.8861999999	530865.5852	0.6989227263	99	591	0.2698004174	61	795	0.4043061353
12	4	5	0.3358431545	0.4346656416	530872.9939999999	530874.2338	1.239757119	126	488	0.7347132999	61	856	0.4995789812
13	4	5	0.3271973729	0.4402527565	530879.7439	530880.7027	0.9588941936000001	101	563	0.396184502	94	950	0.5737366663
14	6	2	0.5007070371	0.4867277076	530886.2828	530887.3117	1.028866522	86	477	0.7843641903	72	1022	0.5658429943
15	2	3	0.6588286388	0.55108901	530893.9816000001	530895.1104	1.128848333	84	535	0.5225685865	87	1109	0.537072984
16	3	6	0.3305620652	0.5706165379	530902.7302	530903.6891	0.9588750921	84	493	0.7121447134	62	1171	0.4915939372
17	5	4	0.3214669181	0.4124890467	530909.1292	530910.1981	1.068918604	81	563	0.396184502	93	1264	0.4652307855
18	1	1	0.3131107389	0.5712829932	530915.6981	530916.867	1.168868483	81	563	0.396184502	92	1356	0.511739914
19	1	1	0.3315065822	0.5717525354	530922.3771	530923.0063	0.6291955828	77	567	0.3781296327	96	1452	0.4629242215
20	5	4	0.6723344537	0.5139881652	530928.5262	530929.8749000001	1.348777412	77	567	0.3781296327	71	1523	0.5122297469
21	2	3	0.6647688651	0.4060665912	530937.3737999999	530938.2836	0.9097973576	67	507	0.6489526711	99	1622	0.5370104658
22	6	2	0.6018477783	0.4965890904	530945.8733	530946.4823	0.608957571	57	517	0.603815498	100	1722	0.5275532681
23	4	5	0.3269695308	0.4328677057	530953.6121	530954.5808999999	0.9688766373	56	573	0.3510473289	98	1820	0.5738782649
24	3	6	0.6734881959	0.4041398843	530960.071	530961.0499	0.978894148	47	505	0.6579801057	99	1919	0.4654023118
25	6	2	0.2004609997	0.5368075673	530968.6497	530969.2687	0.618987056	38	490	0.7256858653	48	1967	0.5009164461
26	4	5	0.3301560071	0.5036157355999999	530974.0381	530974.8378	0.7997310379	40	585	0.2968827212	97	2064	0.4323714897
27	2	3	0.6515245224	0.577569082	530980.3878	530981.2966999999	0.9088927397	38	518	0.5993017807	95	2159	0.5522115327
28	5	4	0.667189242	0.4475788035	530988.7665	530989.8753	1.108840966	24	479	0.7753367557	90	2249	0.5473247913
29	3	6	0.6739800607999999	0.4786848598	530997.4651	530998.764	1.298878878	11	506	0.6534663884	98	2347	0.5762076091
30	1	1	0.3405541056	0.4173150265	531006.3537	531007.2827	0.9289548455	10	513	0.6218703673	72	2419	0.5457129854
31	4	5	0.3369310778	0.4548436953	531012.8827	531013.7315	0.8487942324	11	558	0.4187530885	92	2511	0.4062121824
32	5	4	0.6670074324	0.4992495473	531019.2116	531020.0105	0.7989290555	8	498	0.6895761269	98	2609	0.4699851773
33	2	3	0.655778612	0.5471615205	531027.5903	531028.7191	1.128846337	7	508	0.6444389538	99	2708	0.5137379866
