trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	3	1	0.6770297784	0.46638112	2343802.724	2343814.398	11.67410061	1418	542	0.4909725654	82	82	0.5072846333
2	4	4	0.6787719859	0.5111685639	2343822.036	2343824.296	2.259526999	1418	507	0.6489526711	98	180	0.4087859695
3	2	5	0.6655005816	0.4059533033	2343831.745	2343834.614	2.869527746	1419	519	0.5947880634	93	273	0.4695533752
4	5	3	0.6796834114	0.491048427	2343842.113	2343844.293	2.179528606	1425	515	0.6128429327	94	367	0.4820646556
5	1	6	0.3494663048	0.5549784162	2343851.962	2343853.502	1.539538049	1426	515	0.6128429327	74	441	0.439482175
6	6	2	0.1134297595	0.4376188385	2343859.03	2343860.01	0.9799267752	1426	515	0.6128429327	51	492	0.5190012804
7	2	5	0.6599157327	0.5299039845	2343864.289	2343865.179	0.8897406687	1426	515	0.6128429327	96	588	0.4889407972
8	4	4	0.3395685287	0.494926809	2343872.678	2343875.788	3.109408027	1439	586	0.2923690039	96	684	0.4267589726
9	5	3	0.6725479423	0.429723104	2343881.217	2343883.836	2.619428389	1448	521	0.5857606288	92	776	0.5002552487
10	1	6	0.3388933941	0.4681055425	2343891.385	2343893.435	2.049535603	1454	621	0.1343888982	80	856	0.5941725695
11	3	1	0.6636250471	0.4135688925	2343899.014	2343900.084	1.069712603	1454	477	0.7843641903	88	944	0.4302185946
12	6	2	0.2327564471	0.4441309196	2343907.483	2343908.642	1.159734494	1463	507	0.6489526711	59	1003	0.4193910298
13	6	2	0.1500823217	0.5856200565	2343913.592	2343914.581	0.9897498484	1477	585	0.2968827212	86	1089	0.5149641205
14	2	5	0.6649470044	0.4463535542	2343918.991	2343919.761	0.7697583335	1469	539	0.5045137173000001	84	1173	0.5219655925
15	5	3	0.6600388537	0.4380468031	2343927.259	2343928.819	1.559626384	1466	505	0.6579801057	100	1273	0.502218957
16	4	4	0.3340596808	0.4745909983	2343936.308	2343937.628	1.319635199	1468	597	0.2427181136	91	1364	0.5738691507
17	3	1	0.6453525024	0.4187353007	2343943.167	2343946.246	3.079387426	1479	503	0.6670075403	98	1462	0.4273346836
18	1	6	0.3475474158	0.5938587665	2343953.685	2343955.395	1.709565173	1478	606	0.2020946578	86	1548	0.5954507834
19	2	5	0.6540118777	0.5077955681	2343961.124	2343962.764	1.639609951	1493	538	0.5090274346	86	1634	0.5982835714
20	3	1	0.6747456791999999	0.4974892044	2343970.333	2343971.322	0.9897538405	1485	497	0.6940898442	99	1733	0.4504881996
21	5	3	0.6633514267	0.5158532742	2343978.891	2343980.781	1.889587285	1488	494	0.7076309961	96	1829	0.4035810863
22	1	6	0.343695607	0.4723224043	2343988.27	2343989.769	1.499638495	1500	580	0.3194513078	98	1927	0.4569654866
23	6	2	0.3178825129	0.4392155118	2343995.269	2343996.418	1.149648274	1496	535	0.5225685865	80	2007	0.4013067458
24	4	4	0.3504371249	0.4439554658	2344001.708	2344002.487	0.7797527509	1504	592	0.2652867001	92	2099	0.427308034
25	4	4	0.6575018312000001	0.4165698115	2344007.987	2344009.186	1.19964317	1507	583	0.3059101558	65	2164	0.5969357255
26	2	5	0.6593507763000001	0.4339835271	2344016.705	2344018.795	2.08953095	1511	528	0.5541646077	90	2254	0.5917578865999999
27	5	3	0.6549847053	0.4658145023	2344026.354	2344027.673	1.319679389	1521	498	0.6895761269	97	2351	0.4562272273
28	6	2	0.5309642822	0.498625159	2344035.102	2344038.852	3.749262592	1525	567	0.3781296327	85	2436	0.5729985069
29	1	6	0.3413055389	0.4567129528	2344045.611	2344046.77	1.159756731	1526	582	0.3104238731	97	2533	0.4484526463
30	3	1	0.3386289407	0.4547507568	2344052.27	2344053.839	1.569619376	1515	484	0.7527681691	59	2592	0.408970087
31	6	2	0.1867339526	0.4443063891	2344059.278	2344062.288	3.009368626	1531	561	0.4052119366	79	2671	0.4254741571
32	1	6	0.3506123481	0.5764334416	2344066.957	2344068.507	1.549644796	1538	597	0.2427181136	90	2761	0.4319124098
33	2	5	0.6731571653	0.4526049825	2344074.036	2344077.925	3.88928223	1546	535	0.5225685865	85	2846	0.4278110348
34	5	3	0.6723435421	0.5040529411	2344085.454	2344087.184	1.729649517	1544	501	0.6760349749	100	2946	0.4268675325
35	4	4	0.3246032771	0.5854414662	2344094.773	2344097.512	2.73944351	1555	565	0.3871570673	94	3040	0.5502436959
36	3	1	0.6710127671	0.5256538823	2344103.082	2344104.591	1.509583591	1561	498	0.6895761269	99	3139	0.4754520435
37	1	6	0.3551368791	0.5178186158	2344112.15	2344113.77	1.619673573	1547	604	0.2111220924	86	3225	0.4437209482
38	4	4	0.3433009951	0.5199174472	2344119.409	2344120.479	1.069764776	1544	595	0.2517455482	91	3316	0.4355053268
39	6	2	0.1249091771	0.5250181256000001	2344126.048	2344129.367	3.319346679	1556	574	0.3465336116	78	3394	0.5389414713
40	2	5	0.6461017666	0.4467243799	2344133.647	2344134.356	0.7097541937	1552	545	0.4774314135	84	3478	0.4660446291
41	3	1	0.6846645810999999	0.5719464516	2344141.805	2344142.905	1.09977711	1553	495	0.7031172788	99	3577	0.4509660672
42	5	3	0.6457691611	0.4782203438	2344150.484	2344152.064	1.579668248	1550	507	0.6489526711	100	3677	0.562561779
43	2	5	0.6458640571000001	0.539951088	2344159.582	2344162.742	3.159402354	1546	545	0.4774314135	84	3761	0.568732512
44	6	2	0.8882883204000001	0.5784575116	2344170.311	2344172.08	1.769568743	1559	562	0.4006982193	52	3813	0.4146910858
45	5	3	0.6794295281	0.4370109918	2344180.809	2344181.839	1.029781689	1551	491	0.721172148	96	3909	0.5208586364
46	3	1	0.3279679091	0.4366187667	2344189.418	2344190.427	1.009732697	1552	487	0.7392270171999999	59	3968	0.4788221829
47	1	6	0.3282445851	0.4143241006	2344195.837	2344196.376	0.539864772	1553	561	0.4052119366	93	4061	0.5672958073
48	4	4	0.3493744317	0.4562817985	2344201.926	2344204.005	2.079612653	1583	592	0.2652867001	92	4153	0.5525700979
49	5	3	0.3365810389	0.514310101	2344209.714	2344210.614	0.8997288141000001	1584	500	0.6805486922	66	4219	0.5492598881
50	4	4	0.3207654462	0.4115208376	2344216.153	2344217.463	1.309681551	1594	582	0.3104238731	99	4318	0.5993379299
51	3	1	0.6852178828	0.4993254098	2344223.032	2344223.932	0.8997524776	1593	571	0.3600747635	68	4386	0.5698843943
52	1	6	0.3233465273	0.4814607945	2344231.641	2344232.831	1.189767639	1590	590	0.2743141347	96	4482	0.4933064209
53	2	5	0.6531621579	0.4423331974	2344238.25	2344239.36	1.109715648	1583	497	0.6940898442	96	4578	0.4242785623
54	6	2	0.7001329513	0.5080918834	2344246.759	2344247.918	1.159736774	1587	522	0.5812469115	89	4667	0.5623488077
55	4	4	0.6411906038	0.4282281199	2344255.657	2344257.927	2.269538237	1592	597	0.2427181136	61	4728	0.4955364227
56	1	6	0.3252945444	0.5227444428	2344265.326	2344266.775	1.449697196	1595	600	0.2291769616	91	4819	0.5226782222
57	2	5	0.6764008977	0.4468640197	2344272.245	2344273.594	1.34967034	1604	492	0.7166584307	96	4915	0.5849662969
58	6	2	0.2424202859	0.532384868	2344281.313	2344282.613	1.299658623	1610	515	0.6128429327	63	4978	0.4959405702
