onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
143.959	0.001	143960	Stimulus	S  3
144.439	0.001	144440	Stimulus	S 13
145.949	0.001	145950	Stimulus	S 23
157.647	0.001	157648	Stimulus	S 33
158.177	0.001	158178	Stimulus	S 43
162.236	0.001	162237	Stimulus	S 53
163.257	0.001	163258	Stimulus	S  4
163.776	0.001	163777	Stimulus	S 14
165.286	0.001	165287	Stimulus	S 24
167.546	0.001	167547	Stimulus	S 34
167.976	0.001	167977	Stimulus	S 44
172.055	0.001	172056	Stimulus	S 54
173.065	0.001	173066	Stimulus	S  2
173.485	0.001	173486	Stimulus	S 12
174.995	0.001	174996	Stimulus	S 22
177.864	0.001	177865	Stimulus	S 32
178.354	0.001	178355	Stimulus	S 42
182.344	0.001	182345	Stimulus	S 52
183.354	0.001	183355	Stimulus	S  5
183.854	0.001	183855	Stimulus	S 15
185.363	0.001	185364	Stimulus	S 25
187.543	0.001	187544	Stimulus	S 35
188.043	0.001	188044	Stimulus	S 45
192.112	0.001	192113	Stimulus	S 55
193.133	0.001	193134	Stimulus	S  1
193.702	0.001	193703	Stimulus	S 11
195.212	0.001	195213	Stimulus	S 21
196.752	0.001	196753	Stimulus	S 31
197.212	0.001	197213	Stimulus	S 41
199.302	0.001	199303	Stimulus	S 51
200.321	0.001	200322	Stimulus	S  6
200.771	0.001	200772	Stimulus	S 16
202.281	0.001	202282	Stimulus	S 26
203.261	0.001	203262	Stimulus	S 36
203.801	0.001	203802	Stimulus	S 46
204.481	0.001	204482	Stimulus	S 56
205.491	0.001	205492	Stimulus	S  2
206.03	0.001	206031	Stimulus	S 12
207.54	0.001	207541	Stimulus	S 22
208.43	0.001	208431	Stimulus	S 32
208.94	0.001	208941	Stimulus	S 42
212.899	0.001	212900	Stimulus	S 52
213.909	0.001	213910	Stimulus	S  4
214.419	0.001	214420	Stimulus	S 14
215.929	0.001	215930	Stimulus	S 24
219.039	0.001	219040	Stimulus	S 34
219.479	0.001	219480	Stimulus	S 44
221.508	0.001	221509	Stimulus	S 54
222.518	0.001	222519	Stimulus	S  5
222.958	0.001	222959	Stimulus	S 15
224.468	0.001	224469	Stimulus	S 25
227.087	0.001	227088	Stimulus	S 35
227.607	0.001	227608	Stimulus	S 45
231.637	0.001	231638	Stimulus	S 55
232.647	0.001	232648	Stimulus	S  1
233.127	0.001	233128	Stimulus	S 11
234.637	0.001	234638	Stimulus	S 21
236.686	0.001	236687	Stimulus	S 31
237.296	0.001	237297	Stimulus	S 41
239.326	0.001	239327	Stimulus	S 51
240.336	0.001	240337	Stimulus	S  3
240.756	0.001	240757	Stimulus	S 13
242.266	0.001	242267	Stimulus	S 23
243.335	0.001	243336	Stimulus	S 33
243.785	0.001	243786	Stimulus	S 43
247.765	0.001	247766	Stimulus	S 53
248.775	0.001	248776	Stimulus	S  6
249.225	0.001	249226	Stimulus	S 16
250.734	0.001	250735	Stimulus	S 26
251.894	0.001	251895	Stimulus	S 36
252.334	0.001	252335	Stimulus	S 46
253.724	0.001	253725	Stimulus	S 56
254.734	0.001	254735	Stimulus	S  6
255.334	0.001	255335	Stimulus	S 16
256.844	0.001	256845	Stimulus	S 26
257.833	0.001	257834	Stimulus	S 36
258.363	0.001	258364	Stimulus	S 46
259.263	0.001	259264	Stimulus	S 56
260.273	0.001	260274	Stimulus	S  2
260.733	0.001	260734	Stimulus	S 12
262.243	0.001	262244	Stimulus	S 22
263.013	0.001	263014	Stimulus	S 32
263.553	0.001	263554	Stimulus	S 42
267.542	0.001	267543	Stimulus	S 52
268.552	0.001	268553	Stimulus	S  5
269.002	0.001	269003	Stimulus	S 15
270.512	0.001	270513	Stimulus	S 25
272.071	0.001	272072	Stimulus	S 35
272.591	0.001	272592	Stimulus	S 45
276.551	0.001	276552	Stimulus	S 55
277.561	0.001	277562	Stimulus	S  4
278.051	0.001	278052	Stimulus	S 14
279.56	0.001	279561	Stimulus	S 24
280.88	0.001	280881	Stimulus	S 34
281.47	0.001	281471	Stimulus	S 44
283.47	0.001	283471	Stimulus	S 54
284.48	0.001	284481	Stimulus	S  3
284.91	0.001	284911	Stimulus	S 13
286.42	0.001	286421	Stimulus	S 23
289.499	0.001	289500	Stimulus	S 33
289.949	0.001	289950	Stimulus	S 43
293.818	0.001	293819	Stimulus	S 53
294.828	0.001	294829	Stimulus	S  1
295.429	0.001	295430	Stimulus	S 11
296.938	0.001	296939	Stimulus	S 21
298.648	0.001	298649	Stimulus	S 31
299.258	0.001	299259	Stimulus	S 41
301.337	0.001	301338	Stimulus	S 51
302.347	0.001	302348	Stimulus	S  2
302.867	0.001	302868	Stimulus	S 12
304.377	0.001	304378	Stimulus	S 22
306.017	0.001	306018	Stimulus	S 32
306.637	0.001	306638	Stimulus	S 42
310.556	0.001	310557	Stimulus	S 52
311.567	0.001	311568	Stimulus	S  3
312.076	0.001	312077	Stimulus	S 13
313.586	0.001	313587	Stimulus	S 23
314.576	0.001	314577	Stimulus	S 33
315.045	0.001	315046	Stimulus	S 43
319.095	0.001	319096	Stimulus	S 53
320.105	0.001	320106	Stimulus	S  5
320.635	0.001	320636	Stimulus	S 15
322.145	0.001	322146	Stimulus	S 25
324.034	0.001	324035	Stimulus	S 35
324.454	0.001	324455	Stimulus	S 45
328.524	0.001	328525	Stimulus	S 55
329.534	0.001	329535	Stimulus	S  1
330.014	0.001	330015	Stimulus	S 11
331.523	0.001	331524	Stimulus	S 21
333.023	0.001	333024	Stimulus	S 31
333.494	0.001	333495	Stimulus	S 41
335.553	0.001	335554	Stimulus	S 51
336.563	0.001	336564	Stimulus	S  6
337.013	0.001	337014	Stimulus	S 16
338.522	0.001	338523	Stimulus	S 26
339.672	0.001	339673	Stimulus	S 36
340.092	0.001	340093	Stimulus	S 46
341.992	0.001	341993	Stimulus	S 56
343.002	0.001	343003	Stimulus	S  4
343.452	0.001	343453	Stimulus	S 14
344.962	0.001	344963	Stimulus	S 24
345.741	0.001	345742	Stimulus	S 34
346.191	0.001	346192	Stimulus	S 44
348.291	0.001	348292	Stimulus	S 54
349.301	0.001	349302	Stimulus	S  4
349.731	0.001	349732	Stimulus	S 14
351.241	0.001	351242	Stimulus	S 24
352.44	0.001	352441	Stimulus	S 34
353.051	0.001	353052	Stimulus	S 44
356.99	0.001	356991	Stimulus	S 54
358.001	0.001	358002	Stimulus	S  2
358.45	0.001	358451	Stimulus	S 12
359.959	0.001	359960	Stimulus	S 22
362.049	0.001	362050	Stimulus	S 32
362.659	0.001	362660	Stimulus	S 42
366.608	0.001	366609	Stimulus	S 52
367.618	0.001	367619	Stimulus	S  5
368.098	0.001	368099	Stimulus	S 15
369.608	0.001	369609	Stimulus	S 25
370.928	0.001	370929	Stimulus	S 35
371.398	0.001	371399	Stimulus	S 45
375.327	0.001	375328	Stimulus	S 55
376.337	0.001	376338	Stimulus	S  6
376.847	0.001	376848	Stimulus	S 16
378.357	0.001	378358	Stimulus	S 26
382.106	0.001	382107	Stimulus	S 36
382.696	0.001	382697	Stimulus	S 46
385.876	0.001	385877	Stimulus	S 56
386.886	0.001	386887	Stimulus	S  1
387.356	0.001	387357	Stimulus	S 11
388.865	0.001	388866	Stimulus	S 21
390.025	0.001	390026	Stimulus	S 31
390.495	0.001	390496	Stimulus	S 41
392.535	0.001	392536	Stimulus	S 51
393.545	0.001	393546	Stimulus	S  3
394.015	0.001	394016	Stimulus	S 13
395.525	0.001	395526	Stimulus	S 23
397.094	0.001	397095	Stimulus	S 33
397.524	0.001	397525	Stimulus	S 43
399.554	0.001	399555	Stimulus	S 53
400.564	0.001	400565	Stimulus	S  6
401.024	0.001	401025	Stimulus	S 16
402.534	0.001	402535	Stimulus	S 26
405.543	0.001	405544	Stimulus	S 36
405.983	0.001	405984	Stimulus	S 46
407.103	0.001	407104	Stimulus	S 56
408.113	0.001	408114	Stimulus	S  1
408.703	0.001	408704	Stimulus	S 11
410.213	0.001	410214	Stimulus	S 21
411.762	0.001	411763	Stimulus	S 31
412.212	0.001	412213	Stimulus	S 41
414.312	0.001	414313	Stimulus	S 51
415.322	0.001	415323	Stimulus	S  2
415.782	0.001	415783	Stimulus	S 12
417.292	0.001	417293	Stimulus	S 22
421.181	0.001	421182	Stimulus	S 32
421.631	0.001	421632	Stimulus	S 42
425.67	0.001	425671	Stimulus	S 52
426.685	0.001	426686	Stimulus	S  5
427.2	0.001	427201	Stimulus	S 15
428.71	0.001	428711	Stimulus	S 25
430.44	0.001	430441	Stimulus	S 35
430.88	0.001	430881	Stimulus	S 45
434.909	0.001	434910	Stimulus	S 55
435.919	0.001	435920	Stimulus	S  4
436.519	0.001	436520	Stimulus	S 14
438.029	0.001	438030	Stimulus	S 24
440.768	0.001	440769	Stimulus	S 34
441.338	0.001	441339	Stimulus	S 44
