trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	2	2	0.67133085	0.5689619989	168949.3395	168959.9061	10.5665756	3	540	0.5	51	51	0.4627068471
2	5	5	0.6784849458	0.4959993581	168967.4659	168968.7945	1.328534907	3	540	0.5	51	102	0.5664832133
3	4	1	0.6725304656	0.4501784354	168976.4546	168979.7828	3.328267768	8	542	0.4909725654	50	152	0.5101206648
4	1	4	0.3264254361	0.4004984422	168987.2929	168989.3213	2.028435892	11	540	0.5	51	203	0.5920810037000001
5	6	3	0.363812595	0.5684286018	168995.0227	168996.2906	1.267847913	10	562	0.4006982193	41	244	0.5033812598
6	3	6	0.3453624601	0.4876341347	169002.0405	169003.2892	1.248709708	10	562	0.4006982193	41	285	0.4207428318
7	5	5	0.6861865869	0.4259113123	169008.7692	169010.9679	2.198762722	14	514	0.61735665	62	347	0.471071916
8	6	3	0.7721682181	0.5731423126	169018.6777	169023.616	4.938295198	18	582	0.3104238731	32	379	0.5138521053
9	3	6	0.3516313101	0.5222204818	169031.8357	169032.8345	0.9988670119	18	582	0.3104238731	32	411	0.4365109103
10	2	2	0.6716481366	0.5674888533	169038.5146	169040.0134	1.498776778	20	511	0.6308978019	64	475	0.519424746
11	1	4	0.3322629076	0.5801056256	169047.7032	169049.9619	2.258674244	16	596	0.2472318309	25	500	0.4288446997
12	4	1	0.3280888081	0.5549630777	169055.502	169057.6907	2.188717502	19	487	0.7392270171999999	74	574	0.4880221394
13	2	2	0.6777324446	0.4454236686	169063.1508	169064.2897	1.13889311	19	488	0.7347132999	74	648	0.5644300319
14	6	3	0.3943905656	0.4957656521	169071.9695	169074.0183	2.048769807	19	494	0.7076309961	71	719	0.4524432925
15	3	6	0.6608859269	0.5836151455	169079.9782	169081.817	1.83879609	21	577	0.3329924597	34	753	0.5736919755
16	5	5	0.6535604424	0.4238522112	169089.3368	169090.8856	1.548854909	24	502	0.6715212576	68	821	0.5811250501
17	4	1	0.3235524226	0.4770886956	169098.4254	169101.124	2.698613187	25	574	0.3465336116	35	856	0.4933458973
18	1	4	0.3234847425	0.5419322033	169106.6542	169107.3131	0.6589272422	25	574	0.3465336116	35	891	0.5153517693
19	4	1	0.6640870142999999	0.4190005483	169112.7432	169113.6422	0.8989356925	25	574	0.3465336116	35	926	0.5267953871
20	2	2	0.673761523	0.5564329155	169121.2719	169123.7906	2.518711267	29	500	0.6805486922	69	995	0.4631949949
21	6	3	0.8160412202	0.5715697314	169131.4203	169134.7389	3.318591468	23	546	0.4729176962	48	1043	0.4054533369
