trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	2	2	0.6687172448000001	0.5268063837	179731.528	179742.7523	11.22420991	349	472	0.8069327768	81	81	0.4546453952
2	5	1	0.6628575611	0.5671913377	179750.3823	179752.2906	1.908382772	345	618	0.1479300501	15	96	0.5128249496
3	4	4	0.6749829445	0.4315597188	179759.7703	179762.4689	2.698571277	312	576	0.337506177	34	130	0.5112450175
4	3	3	0.3225938635	0.4055617504	179769.9987	179772.5573	2.558686019	317	538	0.5090274346	51	181	0.533115223
5	6	6	0.7561218119999999	0.5214890711	179778.0974	179782.2559	4.158466093	304	584	0.3013964385	31	212	0.4065438621
6	1	5	0.3240193383	0.5601096032	179790.3155	179792.5743	2.258744379	285	546	0.4729176962	48	260	0.5259257138
7	6	6	0.7454047462	0.5039777074	179798.1044	179799.3732	1.26883607	296	523	0.5767331942	58	318	0.4880969254
8	3	3	0.3337933439	0.4853203578	179807.383	179808.2218	0.8388451276	287	511	0.6308978019	64	382	0.4731483291
9	4	4	0.341210026	0.5756718624	179813.8319	179814.3809	0.5489752217	289	542	0.4909725654	50	432	0.43500979
10	5	1	0.3448726187	0.5731438676	179819.9909	179821.5998	1.608827443	281	484	0.7527681691	76	508	0.5065670448
11	1	5	0.335650796	0.4231148577	179827.1599	179829.2086	2.048687698	280	496	0.6986035615	70	578	0.5727572155
12	2	2	0.6493635424999999	0.4205388402	179834.7687	179837.9772	3.208579862	277	498	0.6895761269	69	647	0.4569679035
13	1	5	0.3365169648	0.5740682283	179845.4671	179846.186	0.7188915077	264	563	0.396184502	40	687	0.5473513472
14	5	1	0.6707939523000001	0.4498011336	179851.7561	179852.725	0.968945748	268	545	0.4774314135	48	735	0.4882666259
15	6	6	0.8265577199	0.5351615543	179860.3348	179861.3736	1.038852312	268	522	0.5812469115	59	794	0.4208075301
16	3	3	0.6643636398	0.5349820163	179869.8533	179871.0122	1.158902581	265	524	0.5722194769	58	852	0.4397005639
17	4	4	0.3417550167	0.4642557299	179878.462	179879.6108	1.148872472	264	476	0.7888779076	79	931	0.5215915915
18	2	2	0.6475217687	0.5828086779	179885.3209	179886.9897	1.668790853	241	532	0.5361097384	54	985	0.4238458446
19	3	3	0.6616617809999999	0.4018484936	179894.2495	179896.3483	2.098707099	239	479	0.7753367557	78	1063	0.5760681989000001
20	5	1	0.3403148774	0.5773206898	179904.028	179904.657	0.6289355585	235	501	0.6760349749	68	1131	0.5842900035
21	2	2	0.6560438383	0.4949350396	179910.3371	179913.0358	2.69869273	226	480	0.7708230384	78	1209	0.5272791127000001
22	4	4	0.3433553045	0.4413918307	179920.4955	179921.7243	1.228848774	209	539	0.5045137173000001	51	1260	0.556893921
23	1	5	0.3387957791	0.5195936234	179927.4244	179928.7133	1.288827009	217	492	0.7166584307	72	1332	0.5441117948
24	6	6	0.3462423126	0.5048793294	179934.3534	179936.6421	2.288722378	168	462	0.8520699499	86	1418	0.5961661968999999
25	6	6	0.8728050297	0.4152545603	179942.2922	179943.7009	1.408764949	178	569	0.3691021981	37	1455	0.4269871976
26	3	3	0.331869844	0.4056621424	179952.3306	179953.7294	1.398806685	170	534	0.5270823038	53	1508	0.5644040375
27	4	4	0.6740727968	0.5750346957	179959.4194	179960.0585	0.6391002352	169	572	0.3555610462	36	1544	0.4969792948
28	2	2	0.6758229009	0.4458804428	179967.6082	179968.5072	0.8989157355	173	471	0.8114464941	82	1626	0.4913510351
29	1	5	0.3181628217	0.585302017	179976.1969	179976.7159	0.5189632959	172	483	0.7572818864	76	1702	0.546772381
30	5	1	0.6700655092	0.4376651558	179982.166	179983.7048	1.538786597	173	503	0.6670075403	67	1769	0.5436314846
31	5	1	0.3328454569	0.5113803216	179991.3346	179992.1336	0.7990157772000001	173	503	0.6670075403	67	1836	0.5113829627000001
32	1	5	0.3327827571	0.5442623046	179997.7428	179999.9623	2.219541679	173	511	0.6308978019	64	1900	0.4866580199
33	6	6	0.6265857444	0.5175820291	180005.5124	180006.0514	0.5390069790000001	173	511	0.6308978019	64	1964	0.5499302866
34	4	4	0.3177161542	0.4787103242	180013.4012	180014.4203	1.019088597	173	563	0.396184502	40	2004	0.4393843384
35	2	2	0.6789926499	0.5407913222	180019.8602	180020.8391	0.9789040122	163	500	0.6805486922	69	2073	0.4051844576
36	3	3	0.3415625809	0.4698845021	180028.3389	180029.9977	1.658778705	159	514	0.61735665	62	2135	0.4847497714
37	1	5	0.3319704513	0.5332679643	180035.6269	180037.0966	1.469654364	158	523	0.5767331942	58	2193	0.4467188045
38	5	1	0.3306725705	0.4530831551	180042.5567	180043.8956	1.338847266	159	509	0.6399252365	64	2257	0.4165485444
39	4	4	0.3255981408	0.4223859211	180049.2757	180050.0646	0.7889198096	162	596	0.2472318309	25	2282	0.4660074891
40	2	2	0.6623123024000001	0.5488025743	180055.5847	180057.5234	1.938763332	121	485	0.7482544518000001	75	2357	0.535393884
41	6	6	0.2715544987	0.4395921415	180065.0232	180065.6722	0.6489977731	129	465	0.838528798	84	2441	0.5502854685
42	3	3	0.3481098181	0.4208980848	180070.8224	180071.6913	0.8689263327	119	557	0.4232668058	43	2484	0.5041766392
