trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	2	6	0.6504136921	0.5852253467	921.0791702	925.1217693	4.042599153	1035	540	0.5	51	51	0.4940938731
2	4	2	0.3202578575	0.4721731387	932.5918129	934.780187	2.188374077	1034	542	0.4909725654	50	101	0.426686276
3	1	4	0.3318939993	0.5166131171	940.2205954	941.5491273	1.328531987	1035	545	0.4774314135	48	149	0.4481183658
4	5	5	0.6777873290999999	0.5795311799	947.1294616	948.8879257	1.758464151	1036	548	0.4638902616	47	196	0.5696265472000001
5	6	1	0.7381440636	0.4262932406	956.5296756	957.5368915	1.007215846	1036	548	0.4638902616	47	243	0.4627625558
6	3	3	0.6641146965	0.5723722634	965.575276	969.0647168	3.489440802	1038	590	0.2743141347	28	271	0.5160660322
7	5	5	0.6834958976	0.5645874013	976.6842986	981.602556	4.918257375	1047	495	0.7031172788	71	342	0.427273714
8	4	2	0.3294773062	0.5805530601	989.2719342	990.8110959000001	1.539161719	1041	599	0.2336906789	24	366	0.4763585715
9	2	6	0.6536730996	0.4632198835	996.2904759	998.3298779	2.039402057	1038	504	0.662493823	67	433	0.5994641788
10	1	4	0.3259347641	0.568508563	1005.97965	1011.077907	5.098257249	1036	587	0.2878552866	29	462	0.4787554795
11	6	1	0.1785411528	0.595095234	1016.66795	1021.846194	5.178244807	1047	487	0.7392270171999999	74	536	0.5702926696
12	3	3	0.3420024364	0.4475574571	1026.496153	1027.735222	1.239068606	1042	504	0.662493823	67	603	0.4314178544
13	5	5	0.6804018861	0.4144013921	1033.185339	1035.843954	2.658614341	1041	510	0.6354115192000001	64	667	0.4515379019
14	2	6	0.6709130859	0.5045528835999999	1043.443681	1046.982108	3.53842759	1041	514	0.61735665	62	729	0.5604880729
15	1	4	0.3425891693	0.5447234996	1054.671924	1058.920253	4.248328894	1044	588	0.2833415693	29	758	0.593233519
16	4	2	0.6508381451	0.5421459752	1064.660264	1067.998786	3.338522129	1043	594	0.2562592655	26	784	0.5702523881
17	6	1	0.5235134791	0.4218121577	1075.448584	1080.126842	4.678257922	1030	505	0.6579801057	66	850	0.4932649977
18	3	3	0.3247314564	0.4917262719	1086.806773	1092.244921	5.438147851	1039	512	0.6263840845999999	63	913	0.4724490175
19	6	1	0.5425773048	0.412692701	1097.635	1098.663895	1.028895602	1045	533	0.5315960211	54	967	0.4252625509
20	3	3	0.3366240914	0.5161381733	1105.402891	1107.302595	1.899704866	1047	546	0.4729176962	48	1015	0.4550310803
21	5	5	0.6583316259999999	0.5438755364	1112.861727	1114.091419	1.229692567	1051	503	0.6670075403	67	1082	0.5685156233000001
22	1	4	0.3431346751	0.4865828715	1121.650338	1123.740139	2.089800368	1051	583	0.3059101558	31	1113	0.5867170453
