trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	4	3	0.3328543418	0.4393792614	182171.1999	182179.1677	7.967767604	64	482	0.7617956038	77	77	0.5402997742
2	2	2	0.6587869181	0.4936273151	182184.7577	182187.2164	2.458658417	68	453	0.8926934056	90	167	0.402494194
3	1	6	0.3490964508	0.4445940217	182194.5762	182198.0447	3.468492324	71	529	0.5496508904	55	222	0.4046246307
4	6	4	0.6568637653	0.4414978919	182203.5347	182207.3832	3.848427881	84	576	0.337506177	34	256	0.4171423331
5	3	5	0.6606168251	0.4494186563	182214.753	182216.1718	1.418826146	94	513	0.6218703673	63	319	0.4698293033
6	5	1	0.3273462154	0.5428454644	182223.7115	182230.3795	6.668001784	94	561	0.4052119366	41	360	0.5184391891
7	1	6	0.3338900372	0.4737799986	182235.8996	182239.4681	3.568426524	93	588	0.2833415693	29	389	0.4018711566
8	3	5	0.3401087997	0.521376726	182244.9482	182247.5368	2.588591835	102	510	0.6354115192000001	64	453	0.5328096736
9	5	1	0.3251600996	0.527767117	182253.1969	182258.4351	5.238193353	90	572	0.3555610462	36	489	0.5829850385000001
10	2	2	0.6574980462	0.5689838364000001	182264.0951	182264.1942	0.09911796186000001	90	572	0.3555610462	36	525	0.4047966893
11	6	4	0.1219617502	0.4333800348	182271.534	182276.7521	5.218172016	83	483	0.7572818864	76	601	0.4842725881
12	4	3	0.335132726	0.5516731132	182281.0725	182283.0412	1.968716412	63	595	0.2517455482	26	627	0.400842643
13	4	3	0.3370548076	0.4536388959	182288.4713	182290.25	1.778725826	66	575	0.3420198943	35	662	0.5111993709
14	2	2	0.6625321681	0.4348726246	182295.7801	182297.7788	1.998693108	80	483	0.7572818864	76	738	0.4438535242
15	1	6	0.3168810275	0.5836756457	182305.3386	182307.7973	2.458668681	88	584	0.3013964385	31	769	0.4379654028
16	6	4	0.3639038677	0.4319373439	182313.1274	182316.3159	3.188471581	88	563	0.396184502	40	809	0.5032610977999999
17	3	5	0.3399699159	0.5190129982	182322.076	182325.4845	3.408554328	98	536	0.5180548692	52	861	0.4972440891
18	5	1	0.3167700513	0.5731764573	182331.1645	182333.7231	2.558624832	102	580	0.3194513078	32	893	0.4021372811
19	3	5	0.6449341280999999	0.4539605661	182339.0432	182341.9218	2.878565942	104	587	0.2878552866	29	922	0.5332628461
20	4	3	0.6648614005	0.5839366583	182349.4716	182354.7398	5.268227924	106	606	0.2020946578	21	943	0.4958277905
21	5	1	0.3141574515	0.5463718574999999	182362.3296	182364.5382	2.208641454	122	502	0.6715212576	68	1011	0.4664892175
22	6	4	0.210567448	0.5805463486	182370.0284	182372.027	1.99861328	120	587	0.2878552866	29	1040	0.5080413295
23	1	6	0.3223840414	0.4768321017	182376.8372	182379.1859	2.348665083	120	591	0.2698004174	27	1067	0.4491651335
24	2	2	0.6560543035	0.4511313204	182384.576	182386.9447	2.368663326	130	482	0.7617956038	77	1144	0.5127237422000001
25	2	2	0.6555630373	0.5280643728	182394.4744	182396.1132	1.638766914	128	506	0.6534663884	66	1210	0.4572512328
26	1	6	0.335512889	0.532727717	182403.603	182408.1014	4.498406584	127	580	0.3194513078	32	1242	0.5223136599
27	6	4	0.3397345374	0.4577379122	182413.6514	182415.5301	1.8787179	142	494	0.7076309961	71	1313	0.4984116618
28	3	5	0.3390108702	0.5168827937	182421.1402	182423.4389	2.298650229	140	490	0.7256858653	73	1386	0.4598723865
29	5	1	0.6499368391	0.4976310201	182428.989	182431.2877	2.298706108	137	593	0.2607729828	27	1413	0.5894667845
30	4	3	0.3391103421	0.483532385	182438.8274	182441.9659	3.138550809	139	602	0.220149527	23	1436	0.506034004
