trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	1	6	0.3250784412	0.5355130937	4243.481745	4252.498988	9.017243050999999	1519	539	0.5045137173000001	51	51	0.5251979527
2	2	3	0.6774807774	0.4608836582	4257.988126	4269.606245	11.61811865	1527	593	0.2607729828	27	78	0.4663621965
3	5	1	0.6754256737	0.4361757767	4277.146378	4281.734373	4.587995694	1534	559	0.4142393712	42	120	0.5665391421
4	6	4	0.495805154	0.4743952578	4289.40506	4292.542935	3.137875411	1542	519	0.5947880634	60	180	0.4396681387
5	3	5	0.3298652881	0.4641338246	4298.992821	4302.051136	3.0583155	1537	553	0.441321675	45	225	0.5995480383
6	4	2	0.3255955694	0.5072795824	4307.701056	4311.119551	3.418495432	1524	576	0.337506177	34	259	0.5579071365
7	5	1	0.6775274226	0.4766303364	4316.66945	4322.827696	6.158245423	1536	530	0.5451371731	55	314	0.4904721886
8	1	6	0.3193489133	0.4717971481	4330.407464	4333.625975	3.218510428	1536	594	0.2562592655	26	340	0.4405781747
9	2	3	0.6741234373	0.5406530132	4339.076072	4346.373962	7.297889871	1555	528	0.5541646077	56	396	0.4366840619
10	3	5	0.3234958912	0.4813162442	4353.883712	4356.932367	3.048654933	1555	610	0.1840397886	19	415	0.517571461
11	4	2	0.3271967955	0.4000303485	4362.352365	4363.461249	1.108884586	1571	544	0.4819451308	49	464	0.4057534445
12	6	4	0.8384465454	0.4037004845	4368.781273	4372.269837	3.488563268	1575	569	0.3691021981	37	501	0.5040893735999999
13	4	2	0.6505768277	0.5388476592	4380.899273	4381.968349	1.069075408	1600	525	0.5677057596	57	558	0.536920176
14	6	4	0.6362627624	0.566086522	4389.538091	4392.576605	3.038514545	1622	503	0.6670075403	67	625	0.5583261064
15	5	1	0.6555783911	0.4875251053	4399.985525	4404.804694	4.819169063	1610	549	0.4593765442	46	671	0.4163848561
16	2	3	0.6720578573	0.5034582846	4412.214424	4418.142534	5.928110098	1624	578	0.3284787424	33	704	0.5613290595
17	1	6	0.3327219118	0.4915148722	4425.782343	4430.320638	4.538295874	1672	597	0.2427181136	25	729	0.4981056137
18	3	5	0.319963746	0.5189083957	4435.889866	4440.578986	4.689119895	1724	583	0.3059101558	31	760	0.4807210152
19	3	5	0.6759886048	0.4782407924	4446.009098	4446.858049	0.8489501813	1728	575	0.3420198943	35	795	0.4743392025
20	5	1	0.6747543496	0.543418678	4454.487797	4460.755784	6.267987586	1744	529	0.5496508904	55	850	0.4810830888
21	1	6	0.3360004424	0.5752514566	4468.425533	4471.384115	2.958581726	1751	542	0.4909725654	50	900	0.5190708701
22	6	4	0.3119485703	0.5368553966	4477.014177	4478.322996	1.308818842	1756	528	0.5541646077	56	956	0.4316826793
23	4	2	0.332375774	0.5859078813	4483.773107	4488.061425	4.288317969	1738	586	0.2923690039	30	986	0.4453874776
24	2	3	0.6786307631	0.4555376728	4493.51153	4498.439799	4.928268613	1774	507	0.6489526711	65	1051	0.5345780918
25	5	1	0.6763834493999999	0.4662399327	4506.069533	4508.558187	2.4886545	1771	595	0.2517455482	26	1077	0.5929729851
26	6	4	0.3617805086	0.4302399622	4516.187958	4520.206344	4.018386296	1791	506	0.6534663884	66	1143	0.5533480602
27	4	2	0.3316573334	0.4034125509	4525.896417	4527.685157	1.788740771	1789	514	0.61735665	62	1205	0.4010752107
28	2	3	0.6695742253	0.4665149861	4533.105297	4536.823755	3.718457115	1808	519	0.5947880634	60	1265	0.4955313837
29	1	6	0.3334136523	0.4898779397	4544.373523	4546.312257	1.938733729	1816	580	0.3194513078	32	1297	0.4641221641
30	3	5	0.3275821759	0.4596866589	4551.781639	4554.500906	2.71926708	1816	577	0.3329924597	34	1331	0.5464292028
