trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	4	6	0.6651132493	0.400745644	2322923.063	2322943.966	20.9035685	418	524	0.5722194769	91	91	0.4362468446
2	5	3	0.6826822694	0.4232894029	2322951.406	2322956.134	4.728132632	429	594	0.2562592655	58	149	0.547586553
3	1	1	0.3207713422	0.4236208206	2322963.773	2322966.972	3.199306473	436	458	0.8701248190999999	46	195	0.5092732976
4	3	5	0.6560950443	0.4104643969	2322972.383	2322975.001	2.618306706	434	556	0.4277805231	78	273	0.4500903165
5	2	2	0.6641251989	0.59515494	2322982.563	2322984.73	2.16696906	449	582	0.3104238731	65	338	0.5024323906
6	6	4	0.8409856404	0.5152142741	2322992.309	2322993.608	1.298618306	486	476	0.7888779076	95	433	0.4338199216
7	2	2	0.6714026295	0.4585850693	2323002.097	2323004.976	2.878593149	496	584	0.3013964385	63	496	0.4670668664
8	4	6	0.6462799285	0.55832931	2323012.595	2323015.194	2.598631877	526	504	0.662493823	99	595	0.5221570997
9	1	1	0.3328875246	0.5738007881	2323022.724	2323024.523	1.798746314	534	593	0.2607729828	93	688	0.4466725075
10	5	3	0.6455507987	0.4681039936	2323029.993	2323031.032	1.038873833	544	489	0.7301995826	92	780	0.464619499
11	6	4	0.2391986542	0.4585918427	2323038.381	2323042.15	3.768665444	547	441	0.9468580133	30	810	0.5495600354
12	3	5	0.6556393446	0.5155887038	2323047.21	2323048.079	0.8689614315999999	550	429.2265585	1	66	876	0.5791951877
13	2	2	0.6604513343	0.4463821681	2323055.598	2323056.807	1.208815028	550	429.2265585	1	67	943	0.5173031747
14	5	3	0.6698034824	0.5350627156	2323064.387	2323067.146	2.758626893	566	432	0.9874814691	69	1012	0.4017870608
15	3	5	0.3428760072	0.5070647906	2323074.635	2323077.514	2.878476259	566	436	0.9694265998	38	1050	0.5080123814
16	1	1	0.3490767392	0.4077671949	2323083.044	2323085.603	2.558803539	514	497	0.6940898442	66	1116	0.4705963099
17	6	4	0.4067806532	0.4266756543	2323091.153	2323093.261	2.108757097	514	540	0.5	91	1207	0.4834247801
18	4	6	0.3394453547	0.496085947	2323099.241	2323100.4	1.158858335	512	509	0.6399252365	70	1277	0.417389947
19	3	5	0.6632253832	0.5465467306	2323105.96	2323108.169	2.208682173	509	548	0.4638902616	81	1358	0.5835303772
20	6	4	0.1978650132	0.5316183154	2323115.819	2323119.977	4.158376236	524	538	0.5090274346	69	1427	0.5229671001
21	2	2	0.6628236673	0.4538033324	2323124.697	2323128.636	3.938385689	553	575	0.3420198943	68	1495	0.466677827
