trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	2	6	0.6816116041	0.4011155181	1908729.788	1908741.201	11.41375795	180	541	0.4954862827	82	82	0.5025400484
2	1	2	0.3109123718	0.4038461753	1908748.76	1908758.358	9.598399513	184	543	0.4864588481	83	165	0.4183682325
3	6	1	0.4201588932	0.4285819832	1908763.618	1908764.777	1.159713396	184	543	0.4864588481	94	259	0.4002298816
4	5	4	0.3422728196	0.4917286628	1908770.738	1908771.316	0.5787573578	184	543	0.4864588481	86	345	0.5195764652
5	3	5	0.3194948322	0.5451255814	1908776.996	1908777.546	0.5497956129	184	543	0.4864588481	84	429	0.4237952785
6	4	3	0.3371834285	0.4426687411	1908782.875	1908783.304	0.4298762844	184	543	0.4864588481	86	515	0.453572357
7	4	3	0.3260061731	0.5345925923	1908788.864	1908789.493	0.6295975719	184	543	0.4864588481	84	599	0.5493119126
8	1	2	0.325858344	0.5082519878	1908795.053	1908796.762	1.709610504	246	551	0.4503491096	88	687	0.591906471
9	2	6	0.6549415628	0.506320695	1908802.371	1908803.091	0.719776551	250	513	0.6218703673	97	784	0.5490513460999999
10	6	1	0.4209504145	0.4972038465	1908810.62	1908812.37	1.74961754	250	565	0.3871570673	97	881	0.5348623668
11	3	5	0.6573082376	0.5838699948	1908818.549	1908819.808	1.259715449	251	560	0.4097256539	76	957	0.4896300242
12	5	4	0.6798760222	0.5922507141	1908827.377	1908828.957	1.579645725	267	507	0.6489526711	97	1054	0.411409712
13	3	5	0.6534099648	0.4884426322	1908836.486	1908837.326	0.8398059275999999	267	510	0.6354115192000001	99	1153	0.5698870831
14	6	1	0.5654708679	0.422169405	1908844.785	1908845.304	0.5198371629	267	511	0.6308978019	94	1247	0.5888977587000001
15	5	4	0.6772099717	0.4495036663	1908852.283	1908853.233	0.9496156585	271	566	0.38264335	71	1318	0.5317864219
16	1	2	0.3367916468	0.511304561	1908861.272	1908862.072	0.7997355994000001	279	516	0.6083292152999999	73	1391	0.4985744589
17	2	6	0.6510191664	0.4422422283	1908867.581	1908869.051	1.469668641	287	502	0.6715212576	98	1489	0.4655972161
18	4	3	0.3278696676	0.4717156191	1908876.43	1908877.389	0.9597338090999999	284	557	0.4232668058	91	1580	0.5033509621
19	2	6	0.6831990977	0.593744951	1908882.988	1908883.788	0.7998251205	289	501	0.6760349749	100	1680	0.4031967715
20	1	2	0.3285372356	0.4438350991	1908891.277	1908893.817	2.539447102	298	561	0.4052119366	93	1773	0.5930242336
21	5	4	0.6609123455	0.4746440998	1908899.406	1908901.675	2.269513148	305	512	0.6263840845999999	97	1870	0.4874751729
22	4	3	0.3336774243	0.5577858522	1908909.234	1908911.074	1.839628026	305	568	0.3736159154	97	1967	0.5298786052
23	6	1	0.4424215637	0.4426268888	1908916.593	1908917.803	1.209688336	311	513	0.6218703673	83	2050	0.4576279687
24	3	5	0.3525471662	0.411724563	1908923.872	1908924.672	0.7997638241	310	574	0.3465336116	100	2150	0.5155358776
25	5	4	0.3304672154	0.4964431993	1908930.341	1908931.521	1.1796971	325	509	0.6399252365	70	2220	0.5842489488
26	3	5	0.6691848496	0.5874369786	1908937.22	1908937.79	0.5698121029	323	502	0.6715212576	100	2320	0.5537937484
27	6	1	0.8276580971	0.5711474229	1908945.468	1908946.178	0.7098060816	335	566	0.38264335	56	2376	0.5224756867
28	4	3	0.6564526994	0.4251557788	1908954.637	1908955.247	0.6098028885	340	506	0.6534663884	100	2476	0.526727103
29	1	2	0.3465204307	0.5276001615	1908962.856	1908963.386	0.5296431307	352	565	0.3871570673	96	2572	0.5682201314000001
30	2	6	0.662906362	0.5186367468	1908969.095	1908970.154	1.059782903	360	496	0.6986035615	97	2669	0.5723911171
31	3	5	0.3373041382	0.4244296493	1908977.673	1908979.263	1.58968861	362	557	0.4232668058	92	2761	0.5220075579
32	1	2	0.3590195242	0.4436333779	1908984.794	1908985.602	0.808449069	388	502	0.6715212576	69	2830	0.5121312768
33	2	6	0.6477781453	0.585208654	1908991.601	1908992.281	0.6798023013	383	487	0.7392270171999999	91	2921	0.4227136703
34	4	3	0.3411026498	0.4796155879	1908999.62	1909000.24	0.6198118462	384	489	0.7301995826	62	2983	0.5713772266
35	6	1	0.2823629904	0.5298859556	1909005.929	1909006.639	0.7097564745	394	570	0.3645884808	92	3075	0.5799935427
36	5	4	0.6656303467	0.4709024155	1909011.928	1909012.558	0.6297780394	393	497	0.6940898442	98	3173	0.5440520808
37	4	3	0.3161881178	0.5063462909999999	1909020.147	1909020.816	0.6698264148999999	415	587	0.2878552866	98	3271	0.407475163
38	3	5	0.3381720956	0.4604534301	1909026.126	1909026.765	0.6398730969999999	409	495	0.7031172788	64	3335	0.4512330047
39	1	2	0.3359979175	0.5558303692	1909032.345	1909033.084	0.7398221213	442	577	0.3329924597	100	3435	0.495548268
40	2	6	0.6553593153	0.446775066	1909038.584	1909039.734	1.150392951	471	501	0.6760349749	98	3533	0.4057454313
41	5	4	0.6623350471	0.4758509569	1909047.092	1909047.692	0.5998523759	476	569	0.3691021981	71	3604	0.403174657
42	6	1	0.5476101103	0.5105563952	1909055.121	1909055.651	0.5298672181	467	476	0.7888779076	76	3680	0.4271070151
43	6	1	0.55972764	0.4213523482	1909062.33	1909062.73	0.3998884694	472	531	0.5406234558	99	3779	0.4812449264
44	5	4	0.3413509003	0.5954899339	1909069.709	1909070.239	0.5298749157	471	484	0.7527681691	59	3838	0.5873501834
45	1	2	0.3358793429	0.5195001215	1909075.938	1909076.797	0.8598101586	491	567	0.3781296327	96	3934	0.4251405737
46	3	5	0.3418467211	0.5778281653	1909082.357	1909082.986	0.6298153871	506	538	0.5090274346	84	4018	0.5890917711
47	4	3	0.3358709544	0.4863798901	1909088.666	1909089.565	0.8997521922	503	495	0.7031172788	64	4082	0.5264072983
48	2	6	0.6594614474	0.4928822741	1909095.135	1909095.634	0.4998235242	518	491	0.721172148	94	4176	0.5093235745
49	3	5	0.3257002509	0.4308329548	1909103.073	1909103.543	0.4698861714	520	571	0.3600747635	97	4273	0.5347635238
50	5	4	0.6716080249	0.4669976796	1909109.042	1909109.932	0.8898070967	534	503	0.6670075403	100	4373	0.4655140278
51	4	3	0.6662937227	0.4744046457	1909117.451	1909119.451	1.999600862	545	543	0.4864588481	83	4456	0.5992588934999999
52	6	1	0.4645484434	0.5338386051	1909127.119	1909128.189	1.069753087	550	547	0.4684039789	100	4556	0.406034533
53	1	2	0.3350667331	0.4122832213	1909134.328	1909135.108	0.7797818312	554	512	0.6263840845999999	71	4627	0.534632179
54	2	6	0.6634129613999999	0.4780873126	1909140.677	1909141.227	0.5499244772	557	496	0.6986035615	97	4724	0.5507555707
55	3	5	0.3226326388	0.419840272	1909148.726	1909149.836	1.109804599	566	550	0.4548628269	87	4811	0.4065428288
56	6	1	0.7659306415	0.5337662176	1909155.245	1909157.735	2.489527187	571	483	0.7572818864	100	4911	0.5749311346
57	5	4	0.6777483758	0.4271333105	1909166.253	1909166.893	0.639815507	598	549	0.4593765442	79	4990	0.5758771984
58	2	6	0.6727552311	0.5195090368	1909174.592	1909175.722	1.129739836	593	487	0.7392270171999999	94	5084	0.5420945776
59	4	3	0.6608431319	0.4040807034	1909183.251	1909183.74	0.4898758624	598	485	0.7482544518000001	92	5176	0.4647732771
60	1	2	0.3277424062	0.4761076211	1909191.189	1909191.979	0.7898515151	631	561	0.4052119366	93	5269	0.457611068
61	5	4	0.6522379042999999	0.5665310411	1909197.518	1909198.388	0.8698308053	626	481	0.7663093211000001	89	5358	0.4916047628
62	1	2	0.342948786	0.544793069	1909205.887	1909206.387	0.499840915	631	559	0.4142393712	93	5451	0.5006030559
63	3	5	0.3396351163	0.5462922475999999	1909212.036	1909212.676	0.6397964053	615	498	0.6895761269	66	5517	0.4219664155
64	2	6	0.6593550493	0.4352351145	1909218.115	1909218.475	0.3598874202	624	516	0.6083292152999999	95	5612	0.558112305
65	4	3	0.3212717609	0.4044399806	1909225.944	1909226.524	0.579792551	624	516	0.6083292152999999	72	5684	0.5956317082
66	6	1	0.3569644392	0.5410836671	1909232.123	1909232.573	0.4498263465	632	543	0.4864588481	88	5772	0.5721030139
67	1	2	0.3280243433	0.4407024735	1909238.272	1909238.822	0.5498483561	632	569	0.3691021981	96	5868	0.4488657122
68	3	5	0.3233774088	0.5232286045	1909244.301	1909245.241	0.9397116171	633	573	0.3510473289	98	5966	0.5376228446
69	6	1	0.3776166135	0.4902192419	1909250.76	1909251.52	0.7597416779	639	491	0.721172148	66	6032	0.520329576
