onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
59.866	0.001	59867	Stimulus	S  4
60.405	0.001	60406	Stimulus	S 14
61.915	0.001	61916	Stimulus	S 24
64.014	0.001	64015	Stimulus	S 34
64.485	0.001	64486	Stimulus	S 44
66.463	0.001	66464	Stimulus	S 54
67.494	0.001	67495	Stimulus	S  2
68.004	0.001	68005	Stimulus	S 12
69.514	0.001	69515	Stimulus	S 22
70.263	0.001	70264	Stimulus	S 32
70.884	0.001	70885	Stimulus	S 42
74.892	0.001	74893	Stimulus	S 52
75.913	0.001	75914	Stimulus	S  6
76.473	0.001	76474	Stimulus	S 16
77.983	0.001	77984	Stimulus	S 26
79.422	0.001	79423	Stimulus	S 36
79.863	0.001	79864	Stimulus	S 46
81.001	0.001	81002	Stimulus	S 56
82.021	0.001	82022	Stimulus	S  5
82.592	0.001	82593	Stimulus	S 15
84.102	0.001	84103	Stimulus	S 25
84.771	0.001	84772	Stimulus	S 35
85.382	0.001	85383	Stimulus	S 45
87.39	0.001	87391	Stimulus	S 55
88.421	0.001	88422	Stimulus	S  3
88.972	0.001	88973	Stimulus	S 13
90.492	0.001	90493	Stimulus	S 23
90.95	0.001	90951	Stimulus	S 33
91.54	0.001	91541	Stimulus	S 43
95.63	0.001	95631	Stimulus	S 53
96.659	0.001	96660	Stimulus	S  1
97.08	0.001	97081	Stimulus	S 11
98.59	0.001	98591	Stimulus	S 21
99.169	0.001	99170	Stimulus	S 31
99.681	0.001	99682	Stimulus	S 41
101.619	0.001	101620	Stimulus	S 51
102.639	0.001	102640	Stimulus	S  1
103.199	0.001	103200	Stimulus	S 11
104.709	0.001	104710	Stimulus	S 21
105.398	0.001	105399	Stimulus	S 31
105.929	0.001	105930	Stimulus	S 41
107.908	0.001	107909	Stimulus	S 51
108.928	0.001	108929	Stimulus	S  5
109.478	0.001	109479	Stimulus	S 15
110.988	0.001	110989	Stimulus	S 25
112.887	0.001	112888	Stimulus	S 35
113.46	0.001	113461	Stimulus	S 45
117.366	0.001	117367	Stimulus	S 55
118.387	0.001	118388	Stimulus	S  3
118.937	0.001	118938	Stimulus	S 13
120.447	0.001	120448	Stimulus	S 23
121.256	0.001	121257	Stimulus	S 33
121.817	0.001	121818	Stimulus	S 43
125.835	0.001	125836	Stimulus	S 53
126.856	0.001	126857	Stimulus	S  4
127.366	0.001	127367	Stimulus	S 14
128.876	0.001	128877	Stimulus	S 24
129.705	0.001	129706	Stimulus	S 34
130.235	0.001	130236	Stimulus	S 44
132.264	0.001	132265	Stimulus	S 54
133.285	0.001	133286	Stimulus	S  2
133.785	0.001	133786	Stimulus	S 12
135.295	0.001	135296	Stimulus	S 22
137.034	0.001	137035	Stimulus	S 32
137.475	0.001	137476	Stimulus	S 42
141.503	0.001	141504	Stimulus	S 52
142.524	0.001	142525	Stimulus	S  6
142.983	0.001	142984	Stimulus	S 16
144.494	0.001	144495	Stimulus	S 26
146.052	0.001	146053	Stimulus	S 36
146.633	0.001	146634	Stimulus	S 46
148.802	0.001	148803	Stimulus	S 56
149.822	0.001	149823	Stimulus	S  5
150.403	0.001	150404	Stimulus	S 15
151.913	0.001	151914	Stimulus	S 25
153.251	0.001	153252	Stimulus	S 35
153.692	0.001	153693	Stimulus	S 45
155.671	0.001	155672	Stimulus	S 55
156.691	0.001	156692	Stimulus	S  3
157.292	0.001	157293	Stimulus	S 13
158.802	0.001	158803	Stimulus	S 23
159.461	0.001	159462	Stimulus	S 33
160.031	0.001	160032	Stimulus	S 43
164.01	0.001	164011	Stimulus	S 53
165.03	0.001	165031	Stimulus	S  4
165.451	0.001	165452	Stimulus	S 14
166.96	0.001	166961	Stimulus	S 24
167.779	0.001	167780	Stimulus	S 34
168.24	0.001	168241	Stimulus	S 44
172.199	0.001	172200	Stimulus	S 54
173.219	0.001	173220	Stimulus	S  1
173.7	0.001	173701	Stimulus	S 11
175.209	0.001	175210	Stimulus	S 21
175.628	0.001	175629	Stimulus	S 31
176.109	0.001	176110	Stimulus	S 41
178.078	0.001	178079	Stimulus	S 51
179.099	0.001	179100	Stimulus	S  6
179.559	0.001	179560	Stimulus	S 16
181.069	0.001	181070	Stimulus	S 26
183.187	0.001	183188	Stimulus	S 36
183.648	0.001	183649	Stimulus	S 46
184.867	0.001	184868	Stimulus	S 56
185.888	0.001	185889	Stimulus	S  2
186.478	0.001	186479	Stimulus	S 12
187.988	0.001	187989	Stimulus	S 22
188.797	0.001	188798	Stimulus	S 32
189.237	0.001	189238	Stimulus	S 42
193.306	0.001	193307	Stimulus	S 52
194.327	0.001	194328	Stimulus	S  1
194.827	0.001	194828	Stimulus	S 11
196.336	0.001	196337	Stimulus	S 21
197.135	0.001	197136	Stimulus	S 31
197.596	0.001	197597	Stimulus	S 41
199.595	0.001	199596	Stimulus	S 51
200.616	0.001	200617	Stimulus	S  6
201.206	0.001	201207	Stimulus	S 16
202.716	0.001	202717	Stimulus	S 26
203.375	0.001	203376	Stimulus	S 36
203.805	0.001	203806	Stimulus	S 46
204.974	0.001	204975	Stimulus	S 56
205.995	0.001	205996	Stimulus	S  5
206.565	0.001	206566	Stimulus	S 15
208.075	0.001	208076	Stimulus	S 25
209.284	0.001	209285	Stimulus	S 35
209.755	0.001	209756	Stimulus	S 45
213.873	0.001	213874	Stimulus	S 55
214.894	0.001	214895	Stimulus	S  4
215.344	0.001	215345	Stimulus	S 14
216.854	0.001	216855	Stimulus	S 24
218.842	0.001	218843	Stimulus	S 34
219.343	0.001	219344	Stimulus	S 44
221.332	0.001	221333	Stimulus	S 54
222.353	0.001	222354	Stimulus	S  2
222.853	0.001	222854	Stimulus	S 12
224.363	0.001	224364	Stimulus	S 22
224.862	0.001	224863	Stimulus	S 32
225.303	0.001	225304	Stimulus	S 42
229.321	0.001	229322	Stimulus	S 52
230.341	0.001	230342	Stimulus	S  3
230.852	0.001	230853	Stimulus	S 13
232.362	0.001	232363	Stimulus	S 23
234.03	0.001	234031	Stimulus	S 33
234.511	0.001	234512	Stimulus	S 43
236.5	0.001	236501	Stimulus	S 53
237.521	0.001	237522	Stimulus	S  2
238.061	0.001	238062	Stimulus	S 12
239.571	0.001	239572	Stimulus	S 22
241.739	0.001	241740	Stimulus	S 32
242.35	0.001	242351	Stimulus	S 42
246.309	0.001	246310	Stimulus	S 52
247.33	0.001	247331	Stimulus	S  5
247.799	0.001	247800	Stimulus	S 15
249.309	0.001	249310	Stimulus	S 25
250.008	0.001	250009	Stimulus	S 35
250.509	0.001	250510	Stimulus	S 45
252.438	0.001	252439	Stimulus	S 55
253.459	0.001	253460	Stimulus	S  6
254.029	0.001	254030	Stimulus	S 16
255.538	0.001	255539	Stimulus	S 26
255.987	0.001	255988	Stimulus	S 36
256.498	0.001	256499	Stimulus	S 46
260.267	0.001	260268	Stimulus	S 56
261.288	0.001	261289	Stimulus	S  1
261.838	0.001	261839	Stimulus	S 11
263.347	0.001	263348	Stimulus	S 21
263.966	0.001	263967	Stimulus	S 31
264.407	0.001	264408	Stimulus	S 41
266.496	0.001	266497	Stimulus	S 51
267.517	0.001	267518	Stimulus	S  3
268.007	0.001	268008	Stimulus	S 13
269.516	0.001	269517	Stimulus	S 23
270.465	0.001	270466	Stimulus	S 33
270.916	0.001	270917	Stimulus	S 43
274.925	0.001	274926	Stimulus	S 53
275.946	0.001	275947	Stimulus	S  4
276.516	0.001	276517	Stimulus	S 14
278.025	0.001	278026	Stimulus	S 24
278.514	0.001	278515	Stimulus	S 34
278.994	0.001	278995	Stimulus	S 44
281.004	0.001	281005	Stimulus	S 54
282.025	0.001	282026	Stimulus	S  3
282.635	0.001	282636	Stimulus	S 13
284.144	0.001	284145	Stimulus	S 23
291.933	0.001	291934	Stimulus	S 33
292.473	0.001	292474	Stimulus	S 43
296.502	0.001	296503	Stimulus	S 53
297.523	0.001	297524	Stimulus	S  4
298.093	0.001	298094	Stimulus	S 14
299.602	0.001	299603	Stimulus	S 24
300.111	0.001	300112	Stimulus	S 34
300.672	0.001	300673	Stimulus	S 44
304.701	0.001	304702	Stimulus	S 54
305.722	0.001	305723	Stimulus	S  6
306.242	0.001	306243	Stimulus	S 16
307.751	0.001	307752	Stimulus	S 26
309.93	0.001	309931	Stimulus	S 36
310.391	0.001	310392	Stimulus	S 46
312.85	0.001	312851	Stimulus	S 56
313.87	0.001	313871	Stimulus	S  1
314.48	0.001	314481	Stimulus	S 11
315.99	0.001	315991	Stimulus	S 21
317.429	0.001	317430	Stimulus	S 31
317.94	0.001	317941	Stimulus	S 41
319.949	0.001	319950	Stimulus	S 51
320.969	0.001	320970	Stimulus	S  5
321.479	0.001	321480	Stimulus	S 15
322.989	0.001	322990	Stimulus	S 25
323.348	0.001	323349	Stimulus	S 35
323.909	0.001	323910	Stimulus	S 45
