onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
44.259	0.001	44260	Stimulus	S  5
44.709	0.001	44710	Stimulus	S 15
46.219	0.001	46220	Stimulus	S 25
66.975	0.001	66976	Stimulus	S 35
67.486	0.001	67487	Stimulus	S 45
71.344	0.001	71345	Stimulus	S 55
72.375	0.001	72376	Stimulus	S  1
72.855	0.001	72856	Stimulus	S 11
74.365	0.001	74366	Stimulus	S 21
77.814	0.001	77815	Stimulus	S 31
78.355	0.001	78356	Stimulus	S 41
80.403	0.001	80404	Stimulus	S 51
81.424	0.001	81425	Stimulus	S  4
81.975	0.001	81976	Stimulus	S 14
83.484	0.001	83485	Stimulus	S 24
84.593	0.001	84594	Stimulus	S 34
85.193	0.001	85194	Stimulus	S 44
89.142	0.001	89143	Stimulus	S 54
90.163	0.001	90164	Stimulus	S  6
90.603	0.001	90604	Stimulus	S 16
92.113	0.001	92114	Stimulus	S 26
93.022	0.001	93023	Stimulus	S 36
93.582	0.001	93583	Stimulus	S 46
98.541	0.001	98542	Stimulus	S 56
99.581	0.001	99582	Stimulus	S  2
100.072	0.001	100073	Stimulus	S 12
101.592	0.001	101593	Stimulus	S 22
102.35	0.001	102351	Stimulus	S 32
102.912	0.001	102913	Stimulus	S 42
106.87	0.001	106871	Stimulus	S 52
107.9	0.001	107901	Stimulus	S  3
108.49	0.001	108491	Stimulus	S 13
110	0.001	110001	Stimulus	S 23
110.003	0.001	110004	Stimulus	S 33
110.521	0.001	110522	Stimulus	S 43
112.599	0.001	112600	Stimulus	S 53
113.619	0.001	113620	Stimulus	S  5
114.149	0.001	114150	Stimulus	S 15
115.659	0.001	115660	Stimulus	S 25
121.368	0.001	121369	Stimulus	S 35
121.967	0.001	121968	Stimulus	S 45
125.867	0.001	125868	Stimulus	S 55
126.888	0.001	126889	Stimulus	S  1
127.418	0.001	127419	Stimulus	S 11
128.927	0.001	128928	Stimulus	S 21
132.606	0.001	132607	Stimulus	S 31
133.047	0.001	133048	Stimulus	S 41
135.066	0.001	135067	Stimulus	S 51
136.086	0.001	136087	Stimulus	S  2
136.566	0.001	136567	Stimulus	S 12
138.076	0.001	138077	Stimulus	S 22
142.965	0.001	142966	Stimulus	S 32
143.495	0.001	143496	Stimulus	S 42
147.514	0.001	147515	Stimulus	S 52
148.535	0.001	148536	Stimulus	S  6
149.145	0.001	149146	Stimulus	S 16
150.654	0.001	150655	Stimulus	S 26
152.273	0.001	152274	Stimulus	S 36
152.824	0.001	152825	Stimulus	S 46
157.742	0.001	157743	Stimulus	S 56
158.763	0.001	158764	Stimulus	S  3
159.333	0.001	159334	Stimulus	S 13
160.843	0.001	160844	Stimulus	S 23
163.522	0.001	163523	Stimulus	S 33
163.953	0.001	163954	Stimulus	S 43
165.861	0.001	165862	Stimulus	S 53
166.882	0.001	166883	Stimulus	S  4
167.442	0.001	167443	Stimulus	S 14
168.952	0.001	168953	Stimulus	S 24
170.981	0.001	170982	Stimulus	S 34
171.562	0.001	171563	Stimulus	S 44
173.61	0.001	173611	Stimulus	S 54
174.63	0.001	174631	Stimulus	S  4
175.191	0.001	175192	Stimulus	S 14
176.701	0.001	176702	Stimulus	S 24
178.01	0.001	178011	Stimulus	S 34
178.451	0.001	178452	Stimulus	S 44
180.479	0.001	180480	Stimulus	S 54
181.499	0.001	181500	Stimulus	S  2
182.1	0.001	182101	Stimulus	S 12
183.61	0.001	183611	Stimulus	S 22
185.929	0.001	185930	Stimulus	S 32
186.42	0.001	186421	Stimulus	S 42
190.498	0.001	190499	Stimulus	S 52
191.518	0.001	191519	Stimulus	S  3
192.129	0.001	192130	Stimulus	S 13
193.639	0.001	193640	Stimulus	S 23
194.807	0.001	194808	Stimulus	S 33
195.388	0.001	195389	Stimulus	S 43
199.397	0.001	199398	Stimulus	S 53
200.418	0.001	200419	Stimulus	S  5
200.868	0.001	200869	Stimulus	S 15
202.377	0.001	202378	Stimulus	S 25
204.376	0.001	204377	Stimulus	S 35
204.927	0.001	204928	Stimulus	S 45
208.886	0.001	208887	Stimulus	S 55
209.906	0.001	209907	Stimulus	S  6
210.326	0.001	210327	Stimulus	S 16
211.836	0.001	211837	Stimulus	S 26
214.485	0.001	214486	Stimulus	S 36
215.066	0.001	215067	Stimulus	S 46
218.714	0.001	218715	Stimulus	S 56
219.735	0.001	219736	Stimulus	S  1
220.185	0.001	220186	Stimulus	S 11
221.695	0.001	221696	Stimulus	S 21
227.963	0.001	227964	Stimulus	S 31
228.494	0.001	228495	Stimulus	S 41
230.513	0.001	230514	Stimulus	S 51
231.533	0.001	231534	Stimulus	S  6
232.083	0.001	232084	Stimulus	S 16
233.593	0.001	233594	Stimulus	S 26
234.572	0.001	234573	Stimulus	S 36
235.013	0.001	235014	Stimulus	S 46
238.961	0.001	238962	Stimulus	S 56
239.982	0.001	239983	Stimulus	S  2
240.572	0.001	240573	Stimulus	S 12
242.082	0.001	242083	Stimulus	S 22
243.431	0.001	243432	Stimulus	S 32
243.972	0.001	243973	Stimulus	S 42
248.05	0.001	248051	Stimulus	S 52
249.071	0.001	249072	Stimulus	S  4
249.59	0.001	249591	Stimulus	S 14
251.101	0.001	251102	Stimulus	S 24
252.97	0.001	252971	Stimulus	S 34
253.55	0.001	253551	Stimulus	S 44
255.579	0.001	255580	Stimulus	S 54
256.6	0.001	256601	Stimulus	S  5
257.15	0.001	257151	Stimulus	S 15
258.66	0.001	258661	Stimulus	S 25
260.569	0.001	260570	Stimulus	S 35
261.059	0.001	261060	Stimulus	S 45
264.998	0.001	264999	Stimulus	S 55
266.019	0.001	266020	Stimulus	S  1
266.439	0.001	266440	Stimulus	S 11
267.948	0.001	267949	Stimulus	S 21
270.317	0.001	270318	Stimulus	S 31
270.778	0.001	270779	Stimulus	S 41
272.757	0.001	272758	Stimulus	S 51
273.778	0.001	273779	Stimulus	S  3
274.268	0.001	274269	Stimulus	S 13
275.777	0.001	275778	Stimulus	S 23
278.826	0.001	278827	Stimulus	S 33
279.427	0.001	279428	Stimulus	S 43
283.465	0.001	283466	Stimulus	S 53
284.486	0.001	284487	Stimulus	S  3
284.976	0.001	284977	Stimulus	S 13
286.486	0.001	286487	Stimulus	S 23
288.625	0.001	288626	Stimulus	S 33
289.106	0.001	289107	Stimulus	S 43
293.184	0.001	293185	Stimulus	S 53
294.205	0.001	294206	Stimulus	S  6
294.795	0.001	294796	Stimulus	S 16
296.305	0.001	296306	Stimulus	S 26
297.993	0.001	297994	Stimulus	S 36
298.484	0.001	298485	Stimulus	S 46
303.443	0.001	303444	Stimulus	S 56
304.463	0.001	304464	Stimulus	S  1
305.013	0.001	305014	Stimulus	S 11
306.523	0.001	306524	Stimulus	S 21
308.592	0.001	308593	Stimulus	S 31
309.143	0.001	309144	Stimulus	S 41
311.202	0.001	311203	Stimulus	S 51
312.222	0.001	312223	Stimulus	S  2
312.782	0.001	312783	Stimulus	S 12
314.292	0.001	314293	Stimulus	S 22
316.201	0.001	316202	Stimulus	S 32
316.652	0.001	316653	Stimulus	S 42
320.58	0.001	320581	Stimulus	S 52
321.6	0.001	321601	Stimulus	S  4
322.181	0.001	322182	Stimulus	S 14
323.691	0.001	323692	Stimulus	S 24
327.919	0.001	327920	Stimulus	S 34
328.49	0.001	328491	Stimulus	S 44
330.559	0.001	330560	Stimulus	S 54
331.58	0.001	331581	Stimulus	S  5
332.08	0.001	332081	Stimulus	S 15
333.589	0.001	333590	Stimulus	S 25
336.198	0.001	336199	Stimulus	S 35
336.819	0.001	336820	Stimulus	S 45
340.837	0.001	340838	Stimulus	S 55
341.858	0.001	341859	Stimulus	S  3
342.417	0.001	342418	Stimulus	S 13
343.928	0.001	343929	Stimulus	S 23
345.417	0.001	345418	Stimulus	S 33
345.958	0.001	345959	Stimulus	S 43
347.987	0.001	347988	Stimulus	S 53
349.007	0.001	349008	Stimulus	S  6
349.607	0.001	349608	Stimulus	S 16
351.118	0.001	351119	Stimulus	S 26
356.715	0.001	356716	Stimulus	S 36
357.246	0.001	357247	Stimulus	S 46
358.895	0.001	358896	Stimulus	S 56
359.916	0.001	359917	Stimulus	S  1
360.486	0.001	360487	Stimulus	S 11
361.996	0.001	361997	Stimulus	S 21
365.324	0.001	365325	Stimulus	S 31
365.925	0.001	365926	Stimulus	S 41
367.934	0.001	367935	Stimulus	S 51
368.955	0.001	368956	Stimulus	S  4
369.545	0.001	369546	Stimulus	S 14
371.054	0.001	371055	Stimulus	S 24
377.243	0.001	377244	Stimulus	S 34
377.713	0.001	377714	Stimulus	S 44
379.602	0.001	379603	Stimulus	S 54
380.623	0.001	380624	Stimulus	S  5
381.162	0.001	381163	Stimulus	S 15
382.673	0.001	382674	Stimulus	S 25
383.932	0.001	383933	Stimulus	S 35
384.442	0.001	384443	Stimulus	S 45
