trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
36	2	3	0.668854125	0.5529580938999999	4808.150461	4809.459278	1.308817094	786	483	0.7572818864	92	3208	0.5300414803
37	4	6	0.3321753038	0.5874244698	4817.148905	4819.197848	2.048942863	777	565	0.3871570673	95	3303	0.5973684041
38	2	3	0.6685116716	0.5391474129	4824.887867	4826.776646	1.888778999	780	513	0.6218703673	96	3399	0.5652837501
39	5	1	0.6651928615	0.4646107181	4834.376423	4834.875354	0.4989307318	780	513	0.6218703673	96	3495	0.5723637255
40	6	2	0.4869185066	0.4101183626	4842.405162	4844.453943	2.048780356	787	468	0.824987646	67	3562	0.5188016389
41	1	5	0.3137129127	0.5996488191	4851.053853	4857.761885	6.708032042	777	583	0.3059101558	100	3662	0.4958597077
42	3	4	0.6740557943	0.5850274564	4863.281999	4865.900616	2.618617213	777	583	0.3059101558	64	3726	0.5746959701
43	3	4	0.3404967004	0.4238089968	4873.500366	4875.419199	1.918833119	788	502	0.6715212576	67	3793	0.4038746838
44	2	3	0.674772366	0.5574438846000001	4880.97926	4882.728043	1.748782836	788	502	0.6715212576	100	3893	0.4389843779
45	4	6	0.3581393104	0.5464613764	4890.3278	4892.7565	2.428700009	784	574	0.3465336116	99	3992	0.4187340481
46	1	5	0.3476782974	0.4617781045	4898.336598	4905.844498	7.507899413	784	574	0.3465336116	100	4092	0.5845583013
47	6	2	0.6971906012	0.4340609467	4911.504571	4913.593454	2.088883117	791	484	0.7527681691	95	4187	0.4281415934
48	5	1	0.651614385	0.4268623161	4921.193111	4924.141691	2.948579902	789	578	0.3284787424	68	4255	0.533692144
49	4	6	0.3382772521	0.5048647199	4931.651499	4933.290321	1.638821692	789	578	0.3284787424	100	4355	0.5519881195
50	5	1	0.664310277	0.5840468907	4939.020352	4941.10911	2.088758243	795	510	0.6354115192000001	98	4453	0.4291691153
51	1	5	0.3273533411	0.4340120655	4948.51895	4957.386616	8.867665335	791	577	0.3329924597	100	4553	0.4504169939
52	3	4	0.6622793049	0.4101281839	4962.766766	4964.545583	1.778816715	795	545	0.4774314135	82	4635	0.4614985718
53	6	2	0.5817039373	0.5308668921	4972.065291	4974.064057	1.998766372	801	507	0.6489526711	94	4729	0.5167742088
54	2	3	0.6579260716000001	0.5235818362	4981.163896	4981.582875	0.4189783777	801	507	0.6489526711	100	4829	0.5659232132999999
55	6	2	0.3984963885	0.5828770375	4989.232647	4990.621504	1.388857544	801	507	0.6489526711	75	4904	0.5101056996
56	4	6	0.3381792744	0.4661450895	4996.551539	4998.120362	1.568823041	798	580	0.3194513078	99	5003	0.5413307623
57	2	3	0.6632172017	0.4585863086	5003.700389	5008.288823	4.588434227	800	510	0.6354115192000001	98	5101	0.5110830245
58	1	5	0.3228704741	0.4128584447	5015.761667	5021.736712	5.975045466	790	581	0.3149375905	100	5201	0.5779153049
59	3	4	0.3164003922	0.5100601275	5027.316806	5028.365735	1.048928608	790	581	0.3149375905	100	5301	0.5155753696000001
60	5	1	0.6852152872	0.5267241306	5033.855817	5035.464583	1.608766146	792	508	0.6444389538	96	5397	0.4699508084
61	4	6	0.336252056	0.5727186818	5043.184375	5045.383095	2.198719672	783	570	0.3645884808	98	5495	0.417860735
62	3	4	0.6634687724	0.4337113152	5050.813176	5052.611958	1.79878228	791	506	0.6534663884	99	5594	0.4855592556
63	6	2	0.8480586339	0.4374371644	5060.071818	5062.090543	2.018725665	791	506	0.6534663884	81	5675	0.5835935761
64	2	3	0.6669643645	0.4067144093	5070.729286	5071.58908	0.8597937186	793	498	0.6895761269	98	5773	0.5732717237
65	1	5	0.3301119198	0.5381500037	5079.258855	5081.527554	2.268698937	789	582	0.3104238731	99	5872	0.4038497752
66	5	1	0.6617538227	0.5057741317	5086.977607	5091.086096	4.108489171	797	513	0.6218703673	97	5969	0.5269192429
67	4	6	0.6721796493	0.4694901833	5098.61585	5100.594633	1.97878313	787	581	0.3149375905	65	6034	0.5859836892
68	2	3	0.6635894901	0.5625064998	5108.324427	5110.083179	1.758751079	796	506	0.6534663884	99	6133	0.5637737334
69	6	2	0.4619756677	0.4048051334	5117.592964	5118.941798	1.348833755	800	470	0.8159602114	65	6198	0.4460760912
70	5	1	0.6628227238	0.5300742241	5125.241753	5126.350659	1.108905703	799	507	0.6489526711	99	6297	0.5962362484
71	1	5	0.3330104113	0.4353171068	5133.92046	5136.649096	2.728635662	790	584	0.3013964385	97	6394	0.5229214857
72	3	4	0.6556902556999999	0.5001630992	5142.219141	5143.378064	1.158922823	790	582	0.3104238731	66	6460	0.496234976
73	2	3	0.6475579398	0.5955640744	5150.967844	5153.536448	2.568603799	797	496	0.6986035615	95	6555	0.4376679324
74	6	2	0.1012805549	0.5876612418	5161.006282	5162.805125	1.798843292	797	498	0.6895761269	42	6597	0.473358412
75	4	6	0.6688120015	0.4625457482	5166.895387	5170.103997	3.208610653	798	545	0.4774314135	81	6678	0.5909675748
76	5	1	0.6632696435	0.5226354616	5181.553142	5185.881543	4.328401195	804	505	0.6579801057	100	6778	0.5548080147
77	1	5	0.3220949459	0.4501745703	5193.421301	5199.099495	5.678194597	792	582	0.3104238731	99	6877	0.4992175026
78	3	4	0.3232397236	0.5318163454	5204.619594	5206.838382	2.218787589	797	545	0.4774314135	85	6962	0.4632354656
79	3	4	0.6529415609	0.5089330859	5212.308444	5213.877228	1.568783127	800	497	0.6940898442	96	7058	0.5490125793
80	4	6	0.3280659016	0.5821148393	5221.476971	5223.415756	1.938785	794	576	0.337506177	100	7158	0.5858079019
81	2	3	0.6569392764999999	0.4360652476	5228.955892	5230.294706	1.338814194	800	505	0.6579801057	100	7258	0.5147122192
82	1	5	0.3449449462	0.5599367411	5237.864344	5239.663289	1.798944787	794	585	0.2968827212	96	7354	0.5527175915
83	5	1	0.676652871	0.5962128394	5245.443327	5246.872183	1.428855959	792	496	0.6986035615	98	7452	0.4539623457
84	6	2	0.2994290258	0.5133301147	5254.461966	5256.150819	1.688853068	799	463	0.8475562326	46	7498	0.4686293741
85	4	6	0.341368312	0.5515711393	5261.520872	5263.989572	2.468700134	798	575	0.3420198943	100	7598	0.541049564
86	5	1	0.6532940379	0.5961826014	5269.729621	5272.088311	2.358690809	800	497	0.6940898442	96	7694	0.4755371543
87	1	5	0.3338389628	0.40749931	5279.448126	5283.246583	3.798456981	798	579	0.3239650251	100	7794	0.5582405989
88	3	4	0.6410711198	0.4594858512	5288.826675	5290.885463	2.058787657	798	579	0.3239650251	69	7863	0.4990387253
89	2	3	0.6744727904	0.498990193	5298.285204	5299.464116	1.178911767	799	507	0.6489526711	98	7961	0.4305737915
