trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	3	6	0.3243719648	0.434956423	603948.2685	603950.1872	1.918724366	1298	429.2265585	1	100	100	0.4727783154
2	6	4	0.273208444	0.4563506743	603955.6173	603958.5858	2.968540791	993	596	0.2472318309	25	125	0.5437935494
3	2	2	0.6655882154	0.5405566083	603963.8559	603968.7142	4.858272622	1298	574	0.3465336116	35	160	0.4974655355
4	4	3	0.6526776651	0.5238649954	603976.294	603978.5227	2.228686739	1588	514	0.61735665	62	222	0.5288834088
5	1	1	0.3256372931	0.5705221072	603986.0924	603987.0913	0.9989143444	1591	523	0.5767331942	58	280	0.4185497058
6	5	5	0.6596163341	0.5433422748	603992.5714	603993.4603	0.8888400421	1593	545	0.4774314135	48	328	0.4193103724
7	3	6	0.671833994	0.4837967338	604000.8801	604001.839	0.9589018913	1595	540	0.5	51	379	0.4406201966
8	6	4	0.1479696412	0.4369971192	604009.3087000001	604010.3075999999	0.9989169103	1598	518	0.5993017807	60	439	0.5350906010000001
9	2	2	0.6680476237	0.5353902528	604014.8179	604016.3066	1.488775667	1615	580	0.3194513078	32	471	0.5515969041
10	4	3	0.3430048304	0.475334988	604023.8964	604024.8053	0.9088992969	1625	532	0.5361097384	54	525	0.5126737473
11	5	5	0.3224327894	0.4033805574	604030.3354	604030.9543	0.6189556952	1619	549	0.4593765442	46	571	0.4516076139
12	1	1	0.3437023109	0.4972956244	604036.3944	604037.0434	0.6489951129	1620	550	0.4548628269	46	617	0.5313384209999999
13	3	6	0.6605252564	0.5864616865	604042.7834	604043.5623	0.7788891873	1620	550	0.4548628269	46	663	0.4922156635
14	2	2	0.6577371925	0.4660815927	604051.0421	604052.051	1.008878827	1621	545	0.4774314135	48	711	0.5274718896
15	5	5	0.3419346753	0.4407428089	604059.5208000001	604060.1197	0.5989517494	1622	545	0.4774314135	48	759	0.5987446438
16	6	4	0.7264178312	0.4162978574	604065.7498	604066.1787	0.42893888	1622	545	0.4774314135	48	807	0.5511353315
