trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	6	4	0.261249201	0.5536439814	6578.170978	6594.03696	15.86598236	695	537	0.5128755373	52	52	0.4854700478
2	1	3	0.3297320599	0.5277715046	6599.177202	6612.473866	13.29666367	694	536	0.5171673831	52	104	0.5744996907
3	2	6	0.6740120911	0.4989798364	6618.084137	6623.711933	5.627795954	680	535	0.5214592288	53	157	0.4323462524
4	5	1	0.6727815098	0.4904692731	6631.232005	6633.960287	2.728282103	677	535	0.5214592288	53	210	0.5247621467
5	3	5	0.3205111704	0.4579979368	6641.55191	6643.049165	1.497255078	677	535	0.5214592288	53	263	0.5416285648
6	4	2	0.3331136298	0.5963290653	6648.679059	6656.366692	7.68763257	679	536	0.5171673831	52	315	0.538139522
7	4	2	0.6613439017	0.5407528402	6661.98566	6763.15915	101.17349	819	540	0.5	50	365	0.4815066703
8	3	5	0.6641075054	0.5747902908	6770.738947	6773.78751	3.048563278	816	507	0.6416309103	65	430	0.4428431903
9	5	1	0.6720733819	0.5152865532000001	6781.276327	6785.855536	4.579208728	839	578	0.3369098608	34	464	0.4871432991
10	6	4	0.8058643883	0.4424662416	6793.375233	6806.132241	12.75700799	833	497	0.684549368	69	533	0.4866680465
11	2	6	0.6571113668	0.5531459497	6814.571851	6818.650194	4.078343741	823	587	0.2982832489	30	563	0.4069677811
12	1	3	0.3247064994	0.5291835459000001	6826.089961	6830.518385	4.428423626	830	508	0.6373390646	64	627	0.4316498146
13	5	1	0.6492334904	0.4040329375	6835.858375	6841.276528	5.418152692	837	497	0.684549368	69	696	0.5008751608000001
14	4	2	0.3284130141	0.5103756118	6848.725472	6855.554199	6.828727483	825	491	0.7103004426	72	768	0.5739503967
15	2	6	0.6600198783	0.5861377243	6861.244273	6863.6729	2.428627756	816	488	0.7231759799	73	841	0.4283636834
16	3	5	0.6679878712	0.4009353523	6871.022684	6875.840958	4.818274086	808	478	0.7660944376	77	918	0.5948617844
17	1	3	0.3317051069	0.5706330733	6883.549785	6888.248951	4.699165063	801	490	0.7145922884	72	990	0.5480297848
18	6	4	0.8669713143	0.5167828982	6893.868983	6896.847538	2.978555227	836	492	0.7060085969	71	1061	0.5062522077
19	6	4	0.357352185	0.5123284209	6905.617116	6908.435601	2.818484488	845	477	0.7703862834	78	1139	0.4470895989
20	5	1	0.676029349	0.4094040519	6913.99479	6932.60173	18.60693962	838	578	0.3369098608	34	1173	0.5384001129
21	3	5	0.6643937823	0.4172179684	6940.171494	6942.610038	2.438544313	829	496	0.6888412138	69	1242	0.500188813
22	2	6	0.6756343809000001	0.4579324863	6950.109849	6952.648501	2.538651852	833	591	0.2811158658	29	1271	0.5206670559
23	1	3	0.3402537122	0.5501500129	6960.327926	6962.246914	1.918988883	844	588	0.2939914031	30	1301	0.5724715027
24	4	2	0.3133684012	0.4457973407	6967.866996	6971.105474	3.238478057	826	487	0.7274678257	73	1374	0.4195665314
25	6	4	0.2766646395	0.5524475753	6976.515634	6977.954372	1.43873875	856	482	0.7489270545	75	1449	0.5452183293
26	5	1	0.3214095945	0.4299359086	6983.143641	6991.682147	8.538505882000001	856	486	0.7317596715	74	1523	0.5459886664
27	2	6	0.6732771593	0.4688772465	6997.17224	7006.529797	9.35755629	844	591	0.2811158658	29	1552	0.512433272
28	1	3	0.3511872009	0.4211053427	7014.059499	7016.438167	2.378667783	836	592	0.2768240201	28	1580	0.5325874804
29	3	5	0.3277063098	0.4978929691	7022.128236	7026.626533	4.498297681	808	591	0.2811158658	29	1609	0.5186775858
30	4	2	0.3270084565	0.5911071093	7032.256564	7034.545231	2.288666677	803	597	0.2553647912	26	1635	0.4383942581
31	6	4	0.838459982	0.4246801984	7039.924427	7046.763187	6.838760646	763	495	0.6931330595	70	1705	0.4435762074
32	4	2	0.3223696708	0.4918093983	7055.282861	7058.081365	2.798504263	761	593	0.2725321743	28	1733	0.5153492408
33	1	3	0.3149730123	0.4871617937	7063.571485	7079.168003	15.59651844	690	477	0.7703862834	78	1811	0.4752911638
34	2	6	0.6520219113	0.5838340058	7084.677161	7087.796583	3.119422061	689	479	0.7618025918	77	1888	0.5501849507
35	5	1	0.6605575674	0.5706508268	7095.386325	7102.744091	7.357766122	712	596	0.259656637	26	1914	0.5331906108
36	3	5	0.6547876794	0.5826774485	7110.373935	7113.722436	3.348501298	715	586	0.3025750947	31	1945	0.4398086848
37	5	1	0.33301682	0.4963559048	7121.142154	7136.248756	15.10660207	711	582	0.3197424778	32	1977	0.4243345927
38	3	5	0.3203812011	0.4094827997	7141.627926	7144.087461	2.459534355	707	493	0.7017167511	71	2048	0.4848861792
39	4	2	0.336698657	0.5291848069	7149.566621	7152.036201	2.469580062	718	541	0.4957081542	50	2098	0.4924605361
40	1	3	0.3335769971	0.5027471729	7157.616257	7164.694119	7.077861641	706	489	0.7188841342	72	2170	0.5185730565
41	6	4	0.7691755347	0.5392205561	7170.313811	7177.552017	7.238205788	683	578	0.3369098608	34	2204	0.5545114774
42	2	6	0.6589834628	0.5085036339	7185.781667	7224.044506	38.26283967	536	577	0.3412017066	35	2239	0.5426921666
43	5	1	0.6675508395999999	0.5004442444	7231.594237	7237.672294	6.078056363	574	490	0.7145922884	72	2311	0.5311324301
44	4	2	0.3325454419	0.4021111078	7245.162045	7248.740483	3.578437538	571	527	0.555793995	56	2367	0.5780808784
45	1	3	0.3342107053	0.4597364995	7254.330534	7257.089112	2.758577738	592	585	0.3068669405	31	2398	0.5837585862
46	6	4	0.2334579605	0.4979747097	7262.718319	7268.747266	6.028946837	565	494	0.6974249053	70	2468	0.4570523976
47	2	6	0.666998263	0.5145885346	7273.676517	7294.143132	20.46661476	590	560	0.4141630846	42	2510	0.5158103373
48	3	5	0.6562731159	0.5184289071	7301.732938	7304.54148	2.808541987	583	494	0.6974249053	70	2580	0.4106222414
49	6	4	0.7794461884	0.5486102692	7311.991176	7315.999579	4.008403258	602	584	0.3111587862	32	2612	0.5378920015999999
50	4	2	0.6499509112	0.4484599524	7324.219256	7326.197961	1.978704618	589	486	0.7317596715	74	2686	0.5787403115999999
51	1	3	0.3455910253	0.5992717958	7333.837655	7340.065714	6.228058872	592	568	0.3798283185	38	2724	0.5063920963
