trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
1	3	1	0.3501349407	0.4129218993	94080.40465	94086.78945	6.38480105	707	505	0.6579801057	66	66	0.5336483534000001
2	2	4	0.666008061	0.429432356	94092.44990000001	94094.26817	1.818266726	668	594	0.2562592655	26	92	0.5389433159
3	4	6	0.6792687106	0.4868877478	94101.86774	94103.67651	1.808774937	651	536	0.5180548692	52	144	0.5443432655
4	6	3	0.3322948747	0.523854143	94111.37624	94112.59514	1.218904434	651	536	0.5180548692	52	196	0.5976093658
5	5	5	0.6651277472	0.5689084917	94118.31516	94122.08358000001	3.768423216	648	505	0.6579801057	66	262	0.4948174298
6	1	2	0.3265327069	0.4427262086	94129.57334	94131.14214	1.568798577	641	471	0.8114464941	82	344	0.5807481273
7	1	2	0.334321922	0.5572414069	94136.79197000001	94137.97104999999	1.179083853	639	592	0.2652867001	27	371	0.4755705504
8	3	1	0.3211068081	0.5774009067	94143.58113000001	94145.50989	1.92876554	618	550	0.4548628269	46	417	0.4452861883
9	5	5	0.6735389692	0.4259873788	94150.85997	94152.23880000001	1.378827663	616	515	0.6128429327	62	479	0.4098220595
10	4	6	0.6783626002000001	0.5875850433000001	94159.83858	94163.63696	3.798383662	568	561	0.4052119366	41	520	0.5910241856
11	2	4	0.6603521434	0.5610608162	94171.41666	94173.23543	1.818770495	561	565	0.3871570673	39	559	0.5521870295
12	6	3	0.2536944351	0.5435054676	94180.85520000001	94181.40414	0.5489420275	561	565	0.3871570673	39	598	0.5119586116
13	1	2	0.3260981994	0.4810646035	94186.47433	94187.64315	1.168816025	545	494	0.7076309961	71	669	0.5710400410000001
14	4	6	0.3263918059	0.5434903571	94193.27325	94194.19211	0.9188626389	529	492	0.7166584307	72	741	0.4703655996
15	2	4	0.6699016865	0.5876759110999999	94199.76222999999	94201.61093	1.848699294	519	507	0.6489526711	65	806	0.5359331048
16	5	5	0.6731229174	0.429777558	94209.15057	94210.49953	1.348958734	519	579	0.3239650251	33	839	0.5611963791
17	6	3	0.2516079799	0.5594125164	94218.21924999999	94219.92803	1.708775735	506	583	0.3059101558	31	870	0.4808820799
18	3	1	0.3413620587	0.5955601829	94225.07818	94225.88705	0.8088690194	486	534	0.5270823038	53	923	0.5350691512
19	2	4	0.6723148684	0.4868358075	94231.50715	94232.46605	0.9588956191	462	493	0.7121447134	72	995	0.4463152452
20	6	3	0.3493832809	0.4464242577	94239.95582	94241.01467	1.058844929	461	510	0.6354115192000001	64	1059	0.5573813654999999
21	4	6	0.3231470398	0.4979028248	94246.72392	94247.52363	0.799707945	456	498	0.6895761269	69	1128	0.4971542661
22	1	2	0.3351743457	0.5677095495	94253.08371000001	94254.00261	0.9188997017	432	529	0.5496508904	55	1183	0.5712970308999999
23	3	1	0.6699353971000001	0.4904394178	94259.63267000001	94260.82149	1.188822822	443	578	0.3284787424	33	1216	0.506271183
24	5	5	0.6543782935	0.4565644506	94268.37132000001	94270.14003	1.768704609	424	590	0.2743141347	28	1244	0.4473911177
25	6	3	0.7706604153	0.4660077917	94277.53982000001	94280.10845	2.568624382	423	514	0.61735665	62	1306	0.5605214959
26	1	2	0.3278119465	0.4798978035	94288.3281	94289.16706000001	0.8389574741	416	495	0.7031172788	71	1377	0.5973549014
27	2	4	0.6498248159	0.5641530651	94294.85708	94295.72596	0.8688768653	444	513	0.6218703673	63	1440	0.5810052717
28	5	5	0.658023098	0.5208827037	94303.28571	94305.02447999999	1.738764405	448	596	0.2472318309	25	1465	0.4122121303
29	3	1	0.3346572859	0.5429301961	94312.48428	94314.29299	1.808706228	434	503	0.6670075403	67	1532	0.5808778564
30	4	6	0.3496704803	0.4504465821	94319.88308	94321.80185	1.918771122	416	578	0.3284787424	33	1565	0.4612748031
31	1	2	0.3311266515	0.4203508561	94327.33192	94328.60071	1.268786147	428	497	0.6940898442	70	1635	0.5189855108
