onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
64.2	0.001	64201	Stimulus	S  4
64.53	0.001	64531	Stimulus	S 14
66.039	0.001	66040	Stimulus	S 24
83.237	0.001	83238	Stimulus	S 34
83.688	0.001	83689	Stimulus	S 44
85.656	0.001	85657	Stimulus	S 54
86.676	0.001	86677	Stimulus	S  1
87.137	0.001	87138	Stimulus	S 11
88.647	0.001	88648	Stimulus	S 21
91.886	0.001	91887	Stimulus	S 31
92.497	0.001	92498	Stimulus	S 41
94.555	0.001	94556	Stimulus	S 51
95.575	0.001	95576	Stimulus	S  3
96.105	0.001	96106	Stimulus	S 13
97.616	0.001	97617	Stimulus	S 23
101.764	0.001	101765	Stimulus	S 33
102.294	0.001	102295	Stimulus	S 43
104.224	0.001	104225	Stimulus	S 53
105.234	0.001	105235	Stimulus	S  6
105.754	0.001	105755	Stimulus	S 16
107.265	0.001	107266	Stimulus	S 26
108.983	0.001	108984	Stimulus	S 36
109.534	0.001	109535	Stimulus	S 46
112.933	0.001	112934	Stimulus	S 56
113.953	0.001	113954	Stimulus	S  2
114.454	0.001	114455	Stimulus	S 12
115.962	0.001	115963	Stimulus	S 22
118.582	0.001	118583	Stimulus	S 32
119.022	0.001	119023	Stimulus	S 42
123.062	0.001	123063	Stimulus	S 52
124.081	0.001	124082	Stimulus	S  5
124.652	0.001	124653	Stimulus	S 15
126.162	0.001	126163	Stimulus	S 25
128.031	0.001	128032	Stimulus	S 35
128.631	0.001	128632	Stimulus	S 45
130.661	0.001	130662	Stimulus	S 55
131.67	0.001	131671	Stimulus	S  1
132.191	0.001	132192	Stimulus	S 11
133.7	0.001	133701	Stimulus	S 21
134.61	0.001	134611	Stimulus	S 31
135.111	0.001	135112	Stimulus	S 41
137.169	0.001	137170	Stimulus	S 51
138.19	0.001	138191	Stimulus	S  6
138.61	0.001	138611	Stimulus	S 16
140.12	0.001	140121	Stimulus	S 26
140.849	0.001	140850	Stimulus	S 36
141.34	0.001	141341	Stimulus	S 46
146.488	0.001	146489	Stimulus	S 56
147.508	0.001	147509	Stimulus	S  2
147.998	0.001	147999	Stimulus	S 12
149.509	0.001	149510	Stimulus	S 22
150.338	0.001	150339	Stimulus	S 32
150.828	0.001	150829	Stimulus	S 42
154.747	0.001	154748	Stimulus	S 52
155.768	0.001	155769	Stimulus	S  3
156.208	0.001	156209	Stimulus	S 13
157.717	0.001	157718	Stimulus	S 23
158.357	0.001	158358	Stimulus	S 33
158.787	0.001	158788	Stimulus	S 43
160.706	0.001	160707	Stimulus	S 53
161.726	0.001	161727	Stimulus	S  5
162.156	0.001	162157	Stimulus	S 15
163.667	0.001	163668	Stimulus	S 25
164.366	0.001	164367	Stimulus	S 35
164.787	0.001	164788	Stimulus	S 45
168.795	0.001	168796	Stimulus	S 55
169.929	0.001	169930	Stimulus	S  4
170.265	0.001	170266	Stimulus	S 14
171.775	0.001	171776	Stimulus	S 24
173.014	0.001	173015	Stimulus	S 34
173.535	0.001	173536	Stimulus	S 44
175.544	0.001	175545	Stimulus	S 54
176.687	0.001	176688	Stimulus	S  4
177.014	0.001	177015	Stimulus	S 14
178.525	0.001	178526	Stimulus	S 24
179.484	0.001	179485	Stimulus	S 34
180.074	0.001	180075	Stimulus	S 44
182.033	0.001	182034	Stimulus	S 54
183.054	0.001	183055	Stimulus	S  6
183.554	0.001	183555	Stimulus	S 16
185.064	0.001	185065	Stimulus	S 26
186.093	0.001	186094	Stimulus	S 36
186.674	0.001	186675	Stimulus	S 46
189.672	0.001	189673	Stimulus	S 56
190.693	0.001	190694	Stimulus	S  2
191.253	0.001	191254	Stimulus	S 12
192.763	0.001	192764	Stimulus	S 22
193.892	0.001	193893	Stimulus	S 32
194.452	0.001	194453	Stimulus	S 42
198.401	0.001	198402	Stimulus	S 52
199.422	0.001	199423	Stimulus	S  3
200.001	0.001	200002	Stimulus	S 13
201.512	0.001	201513	Stimulus	S 23
202.47	0.001	202471	Stimulus	S 33
202.98	0.001	202981	Stimulus	S 43
204.96	0.001	204961	Stimulus	S 53
205.981	0.001	205982	Stimulus	S  5
206.401	0.001	206402	Stimulus	S 15
207.911	0.001	207912	Stimulus	S 25
208.98	0.001	208981	Stimulus	S 35
209.46	0.001	209461	Stimulus	S 45
211.379	0.001	211380	Stimulus	S 55
212.389	0.001	212390	Stimulus	S  1
212.97	0.001	212971	Stimulus	S 11
214.48	0.001	214481	Stimulus	S 21
215.649	0.001	215650	Stimulus	S 31
216.179	0.001	216180	Stimulus	S 41
218.048	0.001	218049	Stimulus	S 51
219.069	0.001	219070	Stimulus	S  1
219.649	0.001	219650	Stimulus	S 11
221.159	0.001	221160	Stimulus	S 21
221.788	0.001	221789	Stimulus	S 31
222.269	0.001	222270	Stimulus	S 41
224.248	0.001	224249	Stimulus	S 51
225.267	0.001	225268	Stimulus	S  5
225.798	0.001	225799	Stimulus	S 15
227.308	0.001	227309	Stimulus	S 25
228.657	0.001	228658	Stimulus	S 35
229.187	0.001	229188	Stimulus	S 45
233.216	0.001	233217	Stimulus	S 55
234.226	0.001	234227	Stimulus	S  2
234.647	0.001	234648	Stimulus	S 12
236.156	0.001	236157	Stimulus	S 22
237.066	0.001	237067	Stimulus	S 32
237.627	0.001	237628	Stimulus	S 42
241.615	0.001	241616	Stimulus	S 52
242.635	0.001	242636	Stimulus	S  6
243.145	0.001	243146	Stimulus	S 16
244.656	0.001	244657	Stimulus	S 26
245.265	0.001	245266	Stimulus	S 36
245.815	0.001	245816	Stimulus	S 46
249.424	0.001	249425	Stimulus	S 56
250.557	0.001	250558	Stimulus	S  4
250.884	0.001	250885	Stimulus	S 14
252.395	0.001	252396	Stimulus	S 24
253.364	0.001	253365	Stimulus	S 34
253.954	0.001	253955	Stimulus	S 44
255.913	0.001	255914	Stimulus	S 54
256.923	0.001	256924	Stimulus	S  3
257.344	0.001	257345	Stimulus	S 13
258.854	0.001	258855	Stimulus	S 23
259.833	0.001	259834	Stimulus	S 33
260.313	0.001	260314	Stimulus	S 43
264.352	0.001	264353	Stimulus	S 53
265.373	0.001	265374	Stimulus	S  6
265.923	0.001	265924	Stimulus	S 16
267.432	0.001	267433	Stimulus	S 26
268.052	0.001	268053	Stimulus	S 36
268.572	0.001	268573	Stimulus	S 46
269.771	0.001	269772	Stimulus	S 56
270.982	0.001	270983	Stimulus	S  4
271.312	0.001	271313	Stimulus	S 14
272.821	0.001	272822	Stimulus	S 24
273.621	0.001	273622	Stimulus	S 34
274.072	0.001	274073	Stimulus	S 44
276.05	0.001	276051	Stimulus	S 54
277.071	0.001	277072	Stimulus	S  2
277.661	0.001	277662	Stimulus	S 12
279.171	0.001	279172	Stimulus	S 22
280.08	0.001	280081	Stimulus	S 32
280.651	0.001	280652	Stimulus	S 42
284.559	0.001	284560	Stimulus	S 52
285.58	0.001	285581	Stimulus	S  5
286.039	0.001	286040	Stimulus	S 15
287.55	0.001	287551	Stimulus	S 25
288.659	0.001	288660	Stimulus	S 35
289.23	0.001	289231	Stimulus	S 45
293.228	0.001	293229	Stimulus	S 55
294.249	0.001	294250	Stimulus	S  3
294.739	0.001	294740	Stimulus	S 13
296.249	0.001	296250	Stimulus	S 23
297.548	0.001	297549	Stimulus	S 33
298.137	0.001	298138	Stimulus	S 43
302.177	0.001	302178	Stimulus	S 53
303.198	0.001	303199	Stimulus	S  1
303.628	0.001	303629	Stimulus	S 11
305.137	0.001	305138	Stimulus	S 21
306.066	0.001	306067	Stimulus	S 31
306.627	0.001	306628	Stimulus	S 41
308.666	0.001	308667	Stimulus	S 51
309.82	0.001	309821	Stimulus	S  4
310.157	0.001	310158	Stimulus	S 14
311.667	0.001	311668	Stimulus	S 24
312.515	0.001	312516	Stimulus	S 34
312.937	0.001	312938	Stimulus	S 44
314.955	0.001	314956	Stimulus	S 54
315.976	0.001	315977	Stimulus	S  5
316.486	0.001	316487	Stimulus	S 15
317.996	0.001	317997	Stimulus	S 25
318.795	0.001	318796	Stimulus	S 35
319.285	0.001	319286	Stimulus	S 45
323.284	0.001	323285	Stimulus	S 55
324.305	0.001	324306	Stimulus	S  2
324.865	0.001	324866	Stimulus	S 12
326.374	0.001	326375	Stimulus	S 22
327.503	0.001	327504	Stimulus	S 32
328.034	0.001	328035	Stimulus	S 42
331.963	0.001	331964	Stimulus	S 52
332.984	0.001	332985	Stimulus	S  3
333.473	0.001	333474	Stimulus	S 13
334.983	0.001	334984	Stimulus	S 23
335.902	0.001	335903	Stimulus	S 33
336.322	0.001	336323	Stimulus	S 43
340.362	0.001	340363	Stimulus	S 53
341.372	0.001	341373	Stimulus	S  1
341.952	0.001	341953	Stimulus	S 11
343.461	0.001	343462	Stimulus	S 21
344.241	0.001	344242	Stimulus	S 31
344.682	0.001	344683	Stimulus	S 41
